Отметка времени,Оберіть вашу посаду,Основна мова програмування,Додаткова мова програмування,"Фреймворки, бібліотеки й платформи",Вкажіть вашу спеціалізацію,Яку мову програмування ви використовуєте у роботі?,Оберіть вашу посаду_1,Оберіть вашу посаду_2,В якій області ви працюєте?,Місто,Тип компанії,Кількість технічних спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,"Зарплата за місяць, net, після податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Стать,Вік,Освіта,ЗВО,Знання англійської мови
2019/12/03 11:30:54 AM GMT+2,System Architect,C#/.NET,C#/.NET,.NET;.NET Core;ASP.NET,,,,,Веб-розробка;Корпоративні системи,Львів,Аутсорсингова,понад 1000,10 і більше років,3 роки,12000,2000,Чоловік,28,Технікум / Коледж,Інший виш,Upper-Intermediate
2019/12/03 4:22:31 PM GMT+2,Designer,,,,,,UI/UX Designer,,Веб-розробка,Київ,Аутсорсингова,до 50,3 роки,3 місяці,12000,0,Жінка,29,Вища,КНУТД,Upper-Intermediate
2019/12/17 3:45:26 PM GMT+2,Designer,,,,,,Graphic Designer,,Інше,Одеса,Продуктова,до 1000,5 років,2 роки,12000,0,Жінка,30,Вища,,Elementary
2019/12/17 4:31:56 PM GMT+2,Senior Project Manager / Program Manager,,,,,,,,iOS;Веб-розробка;eCommerce,Віддалено,Продуктова,до 10 спеціалістів,7 років,7 років,12000,2000,Чоловік,30,Вища,Інший виш,Advanced
2019/12/03 11:02:19 AM GMT+2,Software Engineer,JavaScript,Не використовую,Angular/Angular.js,,,,,Веб-розробка,Черкаси,Інша,до 10 спеціалістів,3 роки,2 роки,12000,0,Жінка,31,Дві вищих,Інший виш,Advanced
2019/12/03 10:52:09 PM GMT+2,DevOps,,,,,,,,Інше,Віддалено,Інша,до 10 спеціалістів,9 років,3 роки,11400,1000,Жінка,28,Вища,НТУ «ХПІ»,Advanced
2019/12/03 2:25:48 PM GMT+2,System Architect,C#/.NET,C#/.NET,.NET;.NET Core;ASP.NET,,,,,Системне програмування;Фінанси та банки,Львів,Аутсорсингова,понад 1000,10 і більше років,1 рік,11200,1200,Чоловік,30,Вища,ЛНУ ім. Франка,Advanced
2019/12/03 2:02:33 PM GMT+2,Senior Software Engineer,Java,Kotlin,Play;Spring,,,,,Веб-розробка;Інше,Віддалено,Продуктова,до 10 спеціалістів,8 років,3 місяці,11000,5000,Чоловік,30,Вища,НТУУ «КПІ»,Advanced
2019/12/03 2:27:36 PM GMT+2,System Architect,C#/.NET,C#/.NET,.NET;.NET Core;ASP.NET,,,,,Веб-розробка;Телекомунікації,Львів,Аутсорсингова,понад 1000,6 років,4 роки,10800,2800,Чоловік,27,Незакінчена вища,Львівська політехніка,Upper-Intermediate
2019/12/03 1:35:06 PM GMT+2,Designer,,,,,,Graphic Designer,,Інше,Дніпро,Продуктова,до 50,3 роки,2 роки,10000,2000,Жінка,26,Вища,ДНУ ім. Гончара,Intermediate
2019/12/03 3:38:43 PM GMT+2,Marketing,,,,,,,,eCommerce,Полтава,Продуктова,до 1000,5 років,Півроку,10000,0,Чоловік,26,Вища,ЛНУ ім. Франка,Elementary
2019/12/03 5:46:06 PM GMT+2,Product Manager,,,,,,,,Інше,Дніпро,Інша,до 200,5 років,3 роки,10000,0,Чоловік,30,Вища,,Advanced
2019/12/08 8:48:12 PM GMT+2,System Architect,JavaScript,Python,Angular/Angular.js;Node.js;React.js,,,,,Веб-розробка,Київ,Інша,до 50,10 і більше років,1 рік,10000,2000,Чоловік,34,Дві вищих,ДонНТУ,Advanced
2019/12/03 7:23:15 PM GMT+2,Senior Software Engineer,PHP,JavaScript,Magento,,,,,eCommerce,Київ,Продуктова,до 200,10 і більше років,8 років,10000,2000,Чоловік,35,Вища,ХНУРЕ,Advanced
2019/12/08 4:37:57 PM GMT+2,Director of Engineering / Program Director,,,,,,,,iOS;Веб-розробка;Embedded,Київ,Стартап,до 10 спеціалістів,10 і більше років,1 рік,10000,-3500,Чоловік,37,Вища,НТУУ «КПІ»,Advanced
2019/12/04 8:13:57 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Корпоративні системи,Київ,Продуктова,до 50,10 і більше років,Менше 3 місяців,9500,3000,Чоловік,35,Вища,НТУУ «КПІ»,Advanced
2019/12/03 12:41:46 PM GMT+2,Director of Engineering / Program Director,,,,,,,,iOS;Фінанси та банки;eCommerce,Київ,Аутсорсингова,до 50,10 і більше років,2 роки,9200,200,Чоловік,28,Вища,ВНТУ,Advanced
2019/12/03 8:01:45 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Веб-розробка;Телекомунікації;Фінанси та банки,Львів,Аутсорсингова,до 200,9 років,5 років,9000,1000,Чоловік,27,Вища,НТУУ «КПІ»,Advanced
2019/12/04 6:18:49 AM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Корпоративні системи,Київ,Аутсорсингова,до 1000,7 років,2 роки,9000,2000,Чоловік,29,Вища,НТУУ «КПІ»,Upper-Intermediate
2020/01/03 9:20:33 AM GMT+2,Director of Engineering / Program Director,,,,,,,,Embedded;Телекомунікації,Київ,Аутсорсингова,до 50,10 і більше років,9 років,9000,500,Чоловік,38,Вища,НТУУ «КПІ»,Advanced
2019/12/16 6:15:41 PM GMT+2,Technical Lead,Java,Kotlin,Flask;Hibernate;Spring,,,,,Фінанси та банки;eCommerce;Корпоративні системи,Київ,Стартап,до 200,9 років,2 роки,8500,0,Чоловік,27,Вища,Інший виш,Advanced
2019/12/03 4:19:30 PM GMT+2,Team Lead,,,,,,,,Веб-розробка;eCommerce,Дніпро,Продуктова,до 1000,8 років,4 роки,8500,400,Чоловік,28,Вища,ДНУ ім. Гончара,Upper-Intermediate
2019/12/03 12:12:44 PM GMT+2,Data Science,,,,,,,,Фінанси та банки;Корпоративні системи,Київ,Аутсорсингова,понад 1000,5 років,2 роки,8500,1500,Чоловік,29,Вища,КНУ ім. Шевченка,Advanced
2019/12/03 11:08:52 AM GMT+2,Senior Software Engineer,PHP,PHP,,,,,,Веб-розробка,Київ,Продуктова,до 1000,7 років,5 років,8500,500,Чоловік,35,Кандидат,КНУ ім. Шевченка,Advanced
2019/12/13 7:03:36 PM GMT+2,Designer,,,,,,Graphic Designer,,Інше,Суми,Продуктова,до 10 спеціалістів,7 років,3 роки,8400,2000,Чоловік,25,Технікум / Коледж,,Pre-Intermediate
2019/12/16 3:46:01 PM GMT+2,Designer,,,,,,UI/UX Designer,,Android;iOS;Desktop Applications,Київ,Продуктова,до 50,3 роки,3 місяці,8000,2000,Чоловік,21,Дві вищих,КНУТД,Pre-Intermediate
2019/12/17 3:16:51 PM GMT+2,Software Engineer,JavaScript,Інша,React.js,,,,,Веб-розробка,Віддалено,Продуктова,до 1000,5 років,1 рік,8000,4000,Чоловік,23,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/03 10:42:57 AM GMT+2,Senior Software Engineer,Swift,Objective-C,,,,,,iOS,Віддалено,Продуктова,до 10 спеціалістів,7 років,4 роки,8000,2500,Чоловік,28,Вища,Інший виш,Intermediate
2019/12/03 11:55:15 PM GMT+2,Research Engineer,,,,,,,,Веб-розробка;Embedded;Мультимедіа,Київ,Аутстафінгова,до 1000,7 років,2 роки,8000,0,Чоловік,29,Дві вищих,,Upper-Intermediate
2019/12/04 5:15:29 PM GMT+2,System Architect,PHP,JavaScript,"Symfony, Laravel",,,,,Веб-розробка;Телекомунікації;Корпоративні системи,Дніпро,Аутсорсингова,до 50,10 і більше років,3 роки,8000,800,Чоловік,29,Вища,,Upper-Intermediate
2019/12/02 1:51:49 PM GMT+2,Junior Software Engineer,Java,Не використовую,Spring,Manual QA,Java,,,Веб-розробка,Київ,Аутсорсингова,понад 1000,6 років,3 роки,8000,1000,Чоловік,30,Дві вищих,НТУУ «КПІ»,Upper-Intermediate
2019/12/05 12:17:24 AM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Веб-розробка,Віддалено,Стартап,до 10 спеціалістів,10 і більше років,4 роки,8000,1000,Чоловік,30,Дві вищих,ХНУРЕ,Advanced
2019/12/06 12:13:58 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Веб-розробка,Київ,Продуктова,до 50,8 років,3 роки,8000,0,Чоловік,30,Вища,НТУУ «КПІ»,Advanced
2019/12/03 5:05:01 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Desktop Applications,Київ,Продуктова,до 50,10 і більше років,7 років,8000,3000,Чоловік,31,Вища,НТУУ «КПІ»,Advanced
2019/12/06 9:04:06 PM GMT+2,DevOps,,,,,,,,Мультимедіа,Віддалено,Продуктова,до 50,10 і більше років,1 рік,8000,1000,Чоловік,32,Вища,,Upper-Intermediate
2019/12/03 11:01:33 AM GMT+2,Director of Engineering / Program Director,,,,,,,,Веб-розробка;Корпоративні системи,Київ,Продуктова,до 200,10 і більше років,4 роки,8000,1000,Чоловік,33,Незакінчена вища,НТУУ «КПІ»,Intermediate
2019/12/03 4:17:56 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Веб-розробка;Телекомунікації,Харків,Продуктова,до 50,5 років,2 роки,8000,1000,Чоловік,35,Дві вищих,,Upper-Intermediate
2019/12/14 5:14:11 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Embedded;Системне програмування;Телекомунікації,Львів,Аутсорсингова,понад 1000,10 і більше років,3 роки,8000,500,Чоловік,42,Дві вищих,Львівська політехніка,Advanced
2019/12/03 12:49:25 PM GMT+2,DevOps,,,,,,,,Веб-розробка;Фінанси та банки,Київ,Продуктова,до 50,4 роки,3 місяці,7916,4000,Чоловік,21,Вища,НТУУ «КПІ»,Advanced
2019/12/15 1:37:04 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Системне програмування;Інше,Київ,Інша,понад 1000,10 і більше років,2 роки,7800,500,Чоловік,30,Вища,НТУУ «КПІ»,Advanced
2019/12/03 11:28:12 AM GMT+2,Director of Engineering / Program Director,,,,,,,,Телекомунікації;eCommerce;Корпоративні системи,Одеса,Продуктова,понад 1000,10 і більше років,9 років,7800,0,Чоловік,38,Вища,ОНУ ім. Мечникова,Advanced
2020/01/03 6:05:10 PM GMT+2,DevOps,,,,,,,,Embedded;Корпоративні системи;Мультимедіа,Одеса,Продуктова,до 50,10 і більше років,4 роки,7800,300,Чоловік,39,Незакінчена вища,ОНУ ім. Мечникова,Upper-Intermediate
2019/12/24 11:39:46 PM GMT+2,Senior Software Engineer,JavaScript,Python,Node.js;React.js;React Native,,,,,Desktop Applications;Веб-розробка;Інше,Дніпро,Аутстафінгова,понад 1000,10 і більше років,5 років,7700,1600,Чоловік,34,Середня,,Upper-Intermediate
2019/12/03 10:46:26 AM GMT+2,Senior Software Engineer,C#/.NET,JavaScript,.NET Core,,,,,Системне програмування;Корпоративні системи,Віддалено,Продуктова,до 50,10 і більше років,2 роки,7675,600,Чоловік,32,Вища,НТУУ «КПІ»,Advanced
2019/12/16 6:43:50 PM GMT+2,Senior Software Engineer,JavaScript,JavaScript,Node.js;React.js,,,,,Веб-розробка;Інше,Віддалено,Продуктова,до 10 спеціалістів,7 років,1 рік,7600,0,Чоловік,29,Вища,КНУ ім. Шевченка,Upper-Intermediate
2020/01/04 12:05:59 AM GMT+2,DevOps,,,,,,,,Інше,Запоріжжя,Продуктова,до 10 спеціалістів,6 років,2 роки,7600,0,Чоловік,35,Дві вищих,ЗНТУ,Upper-Intermediate
2019/12/05 4:50:24 PM GMT+2,Technical Lead,JavaScript,C#/.NET,React.js,,,,,Веб-розробка,Київ,Аутсорсингова,до 10 спеціалістів,7 років,3 роки,7500,1000,Чоловік,29,Дві вищих,НАУ,Upper-Intermediate
2019/12/03 1:51:39 PM GMT+2,Senior Software Engineer,Java,Go,Apache Spark;Hadoop;Spring,,,,,Веб-розробка;Фінанси та банки;Корпоративні системи,Віддалено,Аутстафінгова,до 200,8 років,1 рік,7500,0,Чоловік,30,Вища,ВНТУ,Advanced
2019/12/10 6:16:20 PM GMT+2,Team Lead,,,,,,,,iOS,Віддалено,Стартап,до 10 спеціалістів,10 і більше років,2 роки,7500,-400,Чоловік,30,Середня,,Advanced
2019/12/07 3:40:19 AM GMT+2,System Architect,Java,JavaScript,"Angular/Angular.js;Spring;Java EE, JBoss EAP",,,,,Веб-розробка;Корпоративні системи,Віддалено,Інша,до 200,10 і більше років,1 рік,7500,-500,Чоловік,34,Вища,Інший виш,Upper-Intermediate
2019/12/03 3:03:56 PM GMT+2,System Architect,C#/.NET,SQL,.NET;.NET Core;ASP.NET,,,,,iOS;Веб-розробка,Віддалено,Продуктова,до 1000,10 і більше років,5 років,7500,1000,Чоловік,37,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/03 8:10:27 PM GMT+2,System Architect,C#/.NET,JavaScript,.NET;.NET Core;Node.js,,,,,Веб-розробка;Корпоративні системи;Інше,Віддалено,Аутстафінгова,до 10 спеціалістів,10 і більше років,Півроку,7500,-500,Чоловік,36,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 11:47:18 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Веб-розробка,Харків,Продуктова,до 10 спеціалістів,10 і більше років,2 роки,7500,1500,Чоловік,38,Вища,ХАІ,Upper-Intermediate
2019/12/03 6:34:28 PM GMT+2,Senior Software Engineer,Java,C#/.NET,.NET Core;Spring,,,,,Gamedev,Київ,Продуктова,до 1000,10 і більше років,3 роки,7400,200,Чоловік,28,Вища,НТУУ «КПІ»,Intermediate
2019/12/03 11:42:36 AM GMT+2,Scrum Master,,,,,,,,eCommerce,Віддалено,Стартап,до 10 спеціалістів,9 років,Менше 3 місяців,7200,2450,Чоловік,33,Вища,ЧНУ ім. Федьковича,Advanced
2019/12/03 12:01:12 PM GMT+2,Senior Software Engineer,Ruby,SQL,Ruby on Rails,,,,,Веб-розробка;eCommerce,Віддалено,Стартап,до 10 спеціалістів,10 і більше років,8 років,7200,4450,Чоловік,37,Вища,Інший виш,Intermediate
2019/12/18 12:39:35 AM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Веб-розробка;Фінанси та банки;Корпоративні системи,Харків,Продуктова,до 50,10 і більше років,Менше 3 місяців,7200,700,Чоловік,38,Вища,ХНУРЕ,Upper-Intermediate
2019/12/21 2:17:36 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Embedded;Телекомунікації,Київ,Продуктова,до 50,4 роки,2 роки,7083,2283,Чоловік,23,Вища,НТУУ «КПІ»,Advanced
2019/12/05 8:26:25 AM GMT+2,Senior Software Engineer,JavaScript,Не використовую,React.js,,,,,Веб-розробка,Львів,Стартап,до 10 спеціалістів,7 років,Півроку,7000,1000,Чоловік,23,Незакінчена вища,ЛНУ ім. Франка,Advanced
2019/12/04 12:31:49 PM GMT+2,Technical Lead,Java,JavaScript,React.js;Spring,,,,,Веб-розробка,Інше,Продуктова,до 10 спеціалістів,6 років,6 років,7000,1000,Чоловік,27,Дві вищих,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 10:13:31 AM GMT+2,System Architect,Python,Не використовую,Hadoop,,,,,Інше,Київ,Аутсорсингова,понад 1000,9 років,Півроку,7000,1000,Чоловік,28,Вища,,Upper-Intermediate
2019/12/03 1:42:27 PM GMT+2,Technical Lead,Java,Не використовую,,,,,,Веб-розробка;eCommerce,Львів,Аутстафінгова,до 1000,8 років,3 роки,7000,500,Чоловік,28,Вища,Львівська політехніка,Advanced
2019/12/03 2:58:21 PM GMT+2,System Architect,Java,SQL,Spring,,,,,Gamedev;Корпоративні системи,Київ,Продуктова,до 1000,10 і більше років,3 місяці,7000,2000,Чоловік,30,Незакінчена вища,,Upper-Intermediate
2019/12/03 1:11:45 PM GMT+2,Designer,,,,,,Product Designer,,Android;iOS;Веб-розробка,Хмельницький,Стартап,до 10 спеціалістів,9 років,1 рік,7000,1000,Чоловік,31,Незакінчена вища,,Advanced
2019/12/16 10:59:35 PM GMT+2,System Architect,C#/.NET,JavaScript,.NET Core;Node.js;React.js,,,,,Веб-розробка,Харків,Продуктова,до 200,8 років,3 роки,7000,2000,Чоловік,31,Незакінчена вища,ХНУРЕ,Intermediate
2019/12/16 8:21:46 AM GMT+2,System Architect,PHP,JavaScript,Express;Node.js;React.js,,,,,Веб-розробка;eCommerce,Київ,Стартап,до 50,10 і більше років,2 роки,7000,1000,Чоловік,33,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/06 6:44:11 PM GMT+2,Data Science,,,,,,,,Фінанси та банки;Корпоративні системи;Інше,Київ,Аутсорсингова,понад 1000,6 років,2 роки,7000,500,Чоловік,35,Вища,,Advanced
2019/12/03 4:30:36 PM GMT+2,Product Manager,,,,,,,,Gamedev,Київ,Продуктова,до 200,10 і більше років,2 роки,7000,1000,Чоловік,36,Незакінчена вища,,Advanced
2019/12/16 7:42:02 PM GMT+2,Senior Software Engineer,Python,JavaScript,Django;jQuery,,,,,Телекомунікації,Віддалено,Аутсорсингова,до 10 спеціалістів,10 і більше років,10 і більше років,7000,0,Чоловік,37,Вища,КНУ ім. Шевченка,Upper-Intermediate
2020/01/03 5:20:51 PM GMT+2,HR,,,,,,,HR Director,Інше,Київ,Аутсорсингова,до 1000,10 і більше років,1 рік,7000,1000,Жінка,37,Дві вищих,,Advanced
2019/12/04 10:12:22 PM GMT+2,Security Specialist,,,,,,,,Веб-розробка;Інше,Віддалено,Продуктова,понад 1000,10 і більше років,3 роки,7000,0,Чоловік,38,Вища,Інший виш,Upper-Intermediate
2019/12/03 4:09:46 PM GMT+2,Technical Lead,Go,Java,,,,,,eCommerce,Київ,Аутстафінгова,до 200,10 і більше років,2 роки,7000,0,Чоловік,41,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/03 4:13:38 PM GMT+2,Technical Lead,JavaScript,JavaScript,Node.js;React.js;React Native,,,,,Веб-розробка;Корпоративні системи,Київ,Продуктова,до 200,9 років,1 рік,6800,150,Чоловік,30,Незакінчена вища,Інший виш,Upper-Intermediate
2019/12/07 10:24:19 PM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Веб-розробка;eCommerce,Київ,Аутсорсингова,понад 1000,10 і більше років,1 рік,6800,500,Чоловік,35,Вища,ЛНУ ім. Франка,Advanced
2019/12/24 8:09:43 PM GMT+2,System Architect,Python,Go,,,,,,Системне програмування;Телекомунікації;Корпоративні системи,Львів,Продуктова,до 200,10 і більше років,3 роки,6800,600,Чоловік,37,Вища,ЛНУ ім. Франка,Advanced
2019/12/03 5:50:07 PM GMT+2,Senior Software Engineer,JavaScript,JavaScript,Angular/Angular.js,,,,,Веб-розробка,Віддалено,Продуктова,до 200,5 років,2 роки,6700,1300,Чоловік,27,Вища,,Advanced
2019/12/16 10:46:18 AM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Веб-розробка;Системне програмування;Корпоративні системи,Харків,Аутсорсингова,понад 1000,10 і більше років,10 і більше років,6700,-350,Чоловік,35,Вища,ХНУРЕ,Intermediate
2019/12/05 2:28:45 AM GMT+2,DevOps,,,,,,,,Веб-розробка,Київ,Продуктова,до 200,10 і більше років,Менше 3 місяців,6650,-350,Чоловік,29,Вища,Інший виш,Advanced
2019/12/12 1:36:57 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Android;iOS;Веб-розробка,Київ,Продуктова,до 50,4 роки,1 рік,6600,1000,Чоловік,30,Незакінчена вища,ЗНТУ,Upper-Intermediate
2019/12/03 10:23:32 AM GMT+2,Senior Software Engineer,Kotlin,Java,Vert.x,,,,,Embedded;Системне програмування;Телекомунікації,Віддалено,Стартап,до 10 спеціалістів,10 і більше років,Півроку,6600,800,Чоловік,35,Вища,НТУ «ХПІ»,Advanced
2019/12/03 1:59:37 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Веб-розробка,Київ,Продуктова,до 200,10 і більше років,2 роки,6600,250,Чоловік,36,Вища,НаУКМА,Advanced
2019/12/24 9:18:27 PM GMT+2,Senior Software Engineer,Scala,Не використовую,Akka,,,,,Веб-розробка;Gamedev;Корпоративні системи,Київ,Продуктова,до 1000,10 і більше років,5 років,6600,1200,Чоловік,44,Вища,Інший виш,Upper-Intermediate
2019/12/17 10:49:14 PM GMT+2,System Architect,Scala,Kotlin,Apache Spark;Hadoop;Spring,,,,,Веб-розробка;Інше,Одеса,Аутсорсингова,до 1000,10 і більше років,10 і більше років,6550,300,Чоловік,37,Вища,Інший виш,Advanced
2019/12/03 4:43:52 PM GMT+2,Senior Software Engineer,Python,JavaScript,Django;Flask;React.js,,,,,Веб-розробка,Львів,Аутсорсингова,понад 1000,7 років,3 роки,6500,2000,Чоловік,28,Вища,,Advanced
2019/12/03 3:09:41 PM GMT+2,Senior Software Engineer,Ruby,Інша,jQuery;Ruby on Rails,,,,,Веб-розробка,Віддалено,Аутстафінгова,до 50,10 і більше років,2 роки,6500,500,Чоловік,30,Вища,,Advanced
2019/12/05 10:00:31 PM GMT+2,Team Lead,,,,,,,,Телекомунікації,Київ,Продуктова,до 1000,10 і більше років,6 років,6500,500,Чоловік,32,Вища,Інший виш,Pre-Intermediate
2019/12/03 11:46:41 AM GMT+2,Director of Engineering / Program Director,,,,,,,,Embedded;Інше,Віддалено,Продуктова,до 10 спеціалістів,10 і більше років,Півроку,6500,0,Чоловік,33,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/06 4:40:03 PM GMT+2,System Architect,C#/.NET,C#/.NET,.NET Core;ASP.NET;Vue.js,,,,,Веб-розробка,Віддалено,Продуктова,до 50,10 і більше років,3 роки,6500,500,Чоловік,33,Незакінчена вища,Інший виш,Advanced
2019/12/24 12:17:55 PM GMT+2,Team Lead,,,,,,,,Gamedev,Київ,Аутсорсингова,до 200,10 і більше років,1 рік,6500,800,Чоловік,33,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/24 10:33:59 AM GMT+2,System Architect,C#/.NET,JavaScript,.NET;Angular/Angular.js;ASP.NET,,,,,Веб-розробка;Embedded;Телекомунікації,Львів,Аутстафінгова,понад 1000,10 і більше років,8 років,6500,-300,Чоловік,35,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/03 10:50:40 PM GMT+2,System Architect,JavaScript,Java,Node.js;React.js;Spring,,,,,Android;Desktop Applications;Веб-розробка,Київ,Продуктова,до 1000,10 і більше років,10 і більше років,6500,1100,Чоловік,36,Вища,НАУ,Upper-Intermediate
2019/12/16 7:21:52 PM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Gamedev;Інше,Київ,Продуктова,понад 1000,10 і більше років,5 років,6500,0,Чоловік,37,Незакінчена вища,,Upper-Intermediate
2019/12/02 5:55:50 PM GMT+2,Team Lead,,,,,,,,Інше,Київ,Продуктова,до 10 спеціалістів,10 і більше років,3 роки,6500,900,Чоловік,38,Вища,,Upper-Intermediate
2019/12/04 9:13:50 AM GMT+2,Director of Engineering / Program Director,,,,,,,,Веб-розробка;Мультимедіа;Інше,Дніпро,Продуктова,до 200,10 і більше років,6 років,6500,400,Чоловік,38,Вища,ДонНУ ім. Василя Стуса,Advanced
2019/12/04 8:40:19 PM GMT+2,Senior Software Engineer,JavaScript,JavaScript,Node.js;React.js,,,,,eCommerce,Вінниця,Аутсорсингова,до 10 спеціалістів,10 і більше років,Півроку,6500,1500,Чоловік,38,Вища,ВНТУ,Upper-Intermediate
2019/12/03 2:21:46 PM GMT+2,HR,,,,,,,HR Director,Корпоративні системи,Київ,Продуктова,до 200,7 років,2 роки,6500,1000,Жінка,43,Вища,,Upper-Intermediate
2019/12/03 7:12:24 PM GMT+2,Team Lead,,,,,,,,Веб-розробка,Київ,Аутсорсингова,до 1000,6 років,2 роки,6460,475,Чоловік,27,Вища,НАУ,Advanced
2019/12/02 1:50:00 PM GMT+2,System Architect,JavaScript,C#/.NET,Node.js;React.js;React Native,,,,,Веб-розробка;Корпоративні системи,Віддалено,Аутсорсингова,до 50,7 років,2 роки,6400,800,Чоловік,25,Технікум / Коледж,Інший виш,Advanced
2019/12/03 2:05:38 PM GMT+2,Senior Software Engineer,JavaScript,PHP,Node.js;Vue.js,,,,,Веб-розробка,Миколаїв,Аутстафінгова,до 10 спеціалістів,10 і більше років,5 років,6400,2150,Чоловік,34,Вища,КНУБА,Upper-Intermediate
2019/12/03 11:35:01 AM GMT+2,Director of Engineering / Program Director,,,,,,,,Android;iOS;Веб-розробка,Львів,Аутсорсингова,до 200,10 і більше років,5 років,6317,2000,Чоловік,35,Вища,ДонНТУ,Advanced
2019/12/03 6:37:52 PM GMT+2,Senior Software Engineer,Java,Go,,,,,,Android,Київ,Продуктова,до 200,3 роки,Півроку,6300,1800,Чоловік,21,Незакінчена вища,НАУ,Upper-Intermediate
2019/12/04 11:40:44 AM GMT+2,Senior Software Engineer,JavaScript,Не використовую,React.js,,,,,Веб-розробка,Віддалено,Продуктова,до 50,5 років,Менше 3 місяців,6300,2000,Чоловік,25,Вища,ДНУ ім. Гончара,Upper-Intermediate
2019/12/05 8:48:23 AM GMT+2,Senior Software Engineer,JavaScript,Не використовую,Node.js;React.js;Vue.js,,,,,Веб-розробка,Київ,Продуктова,до 50,8 років,3 місяці,6300,0,Чоловік,27,Вища,ЖДТУ,Upper-Intermediate
2019/12/05 1:42:33 PM GMT+2,Project Manager,,,,,,,,iOS;Веб-розробка;Фінанси та банки,Київ,Продуктова,до 50,2 роки,3 роки,6300,500,Чоловік,33,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 11:32:45 PM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Desktop Applications;Веб-розробка;Корпоративні системи,Київ,Аутсорсингова,понад 1000,10 і більше років,10 і більше років,6300,900,Жінка,34,Вища,НТУУ «КПІ»,Advanced
2019/12/17 9:04:11 PM GMT+2,Product Manager,,,,,,,,Веб-розробка,Київ,Продуктова,до 50,10 і більше років,2 роки,6230,1700,Чоловік,36,Дві вищих,ДонНУ ім. Василя Стуса,Advanced
2019/12/03 3:45:13 PM GMT+2,Senior Software Engineer,Python,JavaScript,Apache Spark,,,,,Веб-розробка,Львів,Аутстафінгова,понад 1000,9 років,5 років,6200,1000,Чоловік,30,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/06 11:03:32 AM GMT+2,Technical Lead,Java,SQL,Hibernate;Spring,,,,,Корпоративні системи,Київ,Аутсорсингова,до 1000,9 років,3 роки,6200,600,Чоловік,30,Вища,,Advanced
2019/12/05 4:37:30 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Корпоративні системи,Київ,Продуктова,до 50,10 і більше років,2 роки,6200,700,Чоловік,38,Вища,Інший виш,Advanced
2019/12/03 10:32:20 AM GMT+2,System Architect,Java,Python,Hibernate;Spring,,,,,Веб-розробка;Фінанси та банки;Корпоративні системи,Харків,Аутсорсингова,понад 1000,10 і більше років,4 роки,6150,1750,Чоловік,39,Вища,ХНУ ім. Каразіна,Advanced
2019/12/15 5:45:09 PM GMT+2,Project Manager,,,,,,,,eCommerce,Київ,Продуктова,до 200,10 і більше років,10 і більше років,6150,150,Чоловік,39,Вища,Інший виш,Intermediate
2019/12/03 1:20:44 PM GMT+2,Senior Software Engineer,C#/.NET,JavaScript,.NET Core;Angular/Angular.js,,,,,Веб-розробка;Корпоративні системи,Київ,Аутсорсингова,до 50,10 і більше років,5 років,6100,1100,Чоловік,33,Вища,ХНУРЕ,Upper-Intermediate
2019/12/24 12:38:42 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Фінанси та банки,Київ,Продуктова,до 50,10 і більше років,4 роки,6100,700,Чоловік,33,Вища,Інший виш,Upper-Intermediate
2019/12/04 4:01:43 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Корпоративні системи,Харків,Продуктова,до 200,10 і більше років,2 роки,6100,0,Чоловік,36,Вища,,Advanced
