Отметка времени,Оберіть вашу посаду,Основна мова програмування,Додаткова мова програмування,"Фреймворки, бібліотеки й платформи",Вкажіть вашу спеціалізацію,Яку мову програмування ви використовуєте у роботі?,Оберіть вашу посаду_1,Оберіть вашу посаду_2,В якій області ви працюєте?,Місто,Тип компанії,Кількість технічних спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,"Зарплата за місяць, net, після податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Стать,Вік,Освіта,ЗВО,Знання англійської мови
2019/12/04 9:04:36 PM GMT+2,Junior QA,,,,Automation QA,Java,,,Android;iOS,Львів,Аутсорсингова,понад 1000,1 рік,1 рік,1050,700,Чоловік,23,Вища,Львівська політехніка,Intermediate
2019/12/16 11:15:54 AM GMT+2,QA Engineer,,,,General QA,Іншу,,,Веб-розробка;Фінанси та банки;Інше,Харків,Аутсорсингова,понад 1000,1 рік,1 рік,1050,600,Чоловік,23,Вища,ХНУРЕ,Intermediate
2019/12/03 11:24:11 AM GMT+2,Software Engineer,PHP,JavaScript,Angular/Angular.js;Laravel,,,,,Веб-розробка,Харків,Аутсорсингова,до 1000,2 роки,Півроку,1050,450,Чоловік,24,Вища,ХНЕУ,Intermediate
2019/12/03 2:26:10 PM GMT+2,Product Manager,,,,,,,,Інше,Івано-Франківськ,Аутсорсингова,до 200,2 роки,3 роки,1050,400,Чоловік,25,Вища,Інший виш,Intermediate
2019/12/03 2:50:46 PM GMT+2,HR,,,,,,,HR Manager,Фінанси та банки,Харків,Аутсорсингова,до 1000,4 роки,2 роки,1050,200,Жінка,25,Вища,ХНЕУ,Upper-Intermediate
2019/12/04 12:53:36 PM GMT+2,Marketing,,,,,,,,Інше,Київ,Продуктова,до 50,3 роки,2 роки,1050,200,Жінка,25,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/05 10:57:03 AM GMT+2,Software Engineer,C#/.NET,JavaScript,.NET;.NET Core;Angular/Angular.js,,,,,Корпоративні системи,Вінниця,Аутсорсингова,до 1000,2 роки,Півроку,1050,350,Чоловік,25,Вища,ВНТУ,Pre-Intermediate
2019/12/03 1:27:16 PM GMT+2,Software Engineer,PHP,PHP,jQuery;Laravel;Vue.js,,,,,Веб-розробка,Київ,Аутстафінгова,до 200,4 роки,2 роки,1050,320,Чоловік,26,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/05 10:31:09 AM GMT+2,Marketing,,,,,,,,Фінанси та банки;Корпоративні системи;Інше,Київ,Продуктова,до 10 спеціалістів,5 років,5 років,1050,-300,Чоловік,27,Вища,КНУ ім. Шевченка,Intermediate
2019/12/03 2:13:02 PM GMT+2,Junior Software Engineer,PHP,JavaScript,,,,,,Веб-розробка,Київ,Аутстафінгова,до 200,5 років,Півроку,1050,450,Чоловік,28,Вища,,Intermediate
2019/12/03 2:36:50 PM GMT+2,Junior Software Engineer,Java,JavaScript,,,,,,eCommerce,Київ,Аутсорсингова,понад 1000,Півроку,Півроку,1050,250,Чоловік,29,Вища,,Upper-Intermediate
2019/12/14 9:10:13 PM GMT+2,Junior QA,,,,Automation QA,C#,,,Веб-розробка,Львів,Аутсорсингова,понад 1000,2 роки,1 рік,1050,750,Чоловік,30,Технікум / Коледж,Інший виш,Pre-Intermediate
2019/12/03 1:55:42 PM GMT+2,QA Engineer,,,,Manual QA,JavaScript,,,Desktop Applications;Веб-розробка;Корпоративні системи,Київ,Інша,до 1000,2 роки,1 рік,1050,400,Жінка,31,Вища,ВНТУ,Intermediate
2019/12/03 1:42:03 PM GMT+2,Junior Software Engineer,C#/.NET,JavaScript,.NET;Angular/Angular.js;ASP.NET,,,,,Веб-розробка,Київ,Продуктова,до 50,1 рік,Півроку,1050,0,Чоловік,38,Вища,Інший виш,Intermediate
2019/12/03 2:46:45 PM GMT+2,Software Engineer,Python,Не використовую,Flask,,,,,Веб-розробка;Корпоративні системи,Львів,Продуктова,до 50,2 роки,2 роки,1050,325,Чоловік,39,Вища,Львівська політехніка,Upper-Intermediate
2019/12/03 2:56:17 PM GMT+2,Software Engineer,Інша,SQL,,,,,,Веб-розробка;Корпоративні системи;Інше,Київ,Аутсорсингова,до 1000,1 рік,1 рік,1049,600,Чоловік,19,Ще студент,КНУ ім. Шевченка,Upper-Intermediate
2019/12/03 6:11:50 PM GMT+2,Junior Software Engineer,Java,JavaScript,jQuery,,,,,Веб-розробка,Харків,Аутсорсингова,понад 1000,2 роки,2 роки,1045,300,Чоловік,24,Вища,ХНУ ім. Каразіна,Intermediate
2019/12/24 10:11:03 AM GMT+2,Software Engineer,PHP,JavaScript,jQuery,,,,,Веб-розробка,Київ,Інша,до 10 спеціалістів,1 рік,1 рік,1030,515,Чоловік,21,Ще студент,Інший виш,Pre-Intermediate
2019/12/03 1:51:22 PM GMT+2,Junior QA,,,,Manual QA,Не використовую,,,iOS;Desktop Applications;Веб-розробка,Одеса,Аутстафінгова,до 1000,1 рік,3 місяці,1030,630,Жінка,23,Вища,,Upper-Intermediate
2019/12/03 1:50:09 PM GMT+2,Software Engineer,Java,Kotlin,,,,,,Android,Київ,Продуктова,до 50,2 роки,2 роки,1025,500,Чоловік,23,Вища,КНУТД,Intermediate
2019/12/03 11:04:52 AM GMT+2,Junior QA,,,,Automation QA,Python,,,Desktop Applications;Веб-розробка;Мультимедіа,Львів,Аутсорсингова,понад 1000,1 рік,1 рік,1020,600,Чоловік,23,Вища,Львівська політехніка,Intermediate
2019/12/03 11:03:14 AM GMT+2,Designer,,,,,,Graphic Designer,,Мультимедіа,Київ,Аутсорсингова,до 10 спеціалістів,2 роки,1 рік,1000,400,Жінка,19,Незакінчена вища,НАУ,Intermediate
2019/12/03 1:34:23 PM GMT+2,Marketing,,,,,,,,Інше,Київ,Інша,до 10 спеціалістів,Півроку,Менше 3 місяців,1000,900,Чоловік,19,Ще студент,НАУ,Intermediate
2019/12/04 2:32:26 PM GMT+2,Sales Manager,,,,,,,,Фінанси та банки,Київ,Аутстафінгова,до 50,1 рік,Півроку,1000,600,Чоловік,19,Ще студент,КНУ ім. Шевченка,Advanced
2019/12/03 1:48:42 PM GMT+2,Marketing,,,,,,,,eCommerce,Київ,Стартап,до 10 спеціалістів,2 роки,2 роки,1000,0,Жінка,20,Вища,Інший виш,Advanced
2019/12/03 6:20:57 PM GMT+2,Project Manager,,,,,,,,Android;iOS;Системне програмування,Київ,Аутсорсингова,до 1000,1 рік,Півроку,1000,500,Чоловік,20,Ще студент,НАУ,Intermediate
2019/12/03 11:51:29 PM GMT+2,Junior Software Engineer,Python,JavaScript,Flask,,,,,Веб-розробка,Київ,Продуктова,до 200,1 рік,1 рік,1000,600,Чоловік,20,Ще студент,КНУ ім. Шевченка,Intermediate
2019/12/04 10:26:10 PM GMT+2,Junior QA,,,,Automation QA,Java,,,Веб-розробка,Київ,Аутсорсингова,понад 1000,1 рік,1 рік,1000,600,Жінка,20,Ще студент,НГУ [Дніпро],Intermediate
2019/12/05 12:39:04 PM GMT+2,Support,,,,,,,,Корпоративні системи;Інше,Київ,Продуктова,до 200,1 рік,Менше 3 місяців,1000,600,Чоловік,20,Незакінчена вища,НТУУ «КПІ»,Pre-Intermediate
2019/12/05 11:35:56 PM GMT+2,Junior Software Engineer,Інша,Java,,,,,,Мультимедіа,Львів,Аутсорсингова,понад 1000,1 рік,1 рік,1000,400,Чоловік,20,Ще студент,Львівська політехніка,Intermediate
2019/12/08 9:29:51 PM GMT+2,DevOps,,,,,,,,Фінанси та банки,Київ,Продуктова,до 1000,Менше 3 місяців,Менше 3 місяців,1000,-1000,Чоловік,20,Ще студент,НТУУ «КПІ»,Intermediate
