"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
108,"Днепр",6900,-1000,"System Architect",10,1,"C#/.NET",,31,"мужской","Высшее","ДНУ им. Гончара","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
109,"Киев",6900,1000,"Senior Software Engineer",10,3,"C++",,37,"мужской","Высшее","Другой вуз","False","выше среднего","до 1000 человек","Аутстаффинговая","Medtech"
110,"Киев",6900,400,"Sales manager",10,4,,,29,"мужской","Незаконченное высшее","КНУ им. Шевченко","False","продвинутый","до 200 человек","Продуктовая","Automotive, Big Data, Cloud Computing"
111,"Киев",6800,600,"System Architect",9,4,"JavaScript",,39,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 1000 человек","Аутсорсинговая","E-commerce"
112,"Одесса",6800,1800,"Senior Software Engineer",10,5,"TypeScript",,33,"мужской","Два высших","ОНАС","False","ниже среднего","до 200 человек","Аутсорсинговая","Adtech"
113,"Киев",6700,1500,"System Architect",3,"0.5","JavaScript",,40,"мужской","Высшее","ДонНУ им. Васыля Стуса","False","выше среднего","до 1000 человек","Аутстаффинговая","E-commerce"
114,"Киев",6700,1700,"Team/Technical Lead",5,3,"Scala",,25,"мужской","Высшее","Другой вуз","False","средний","до 200 человек","Продуктовая","Fintech"
115,"Львов",6700,0,"Senior Software Engineer",10,2,"JavaScript",,29,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Аутсорсинговая","Agriculture, Fintech"
116,"Киев",6650,2000,"DevOps",2,1,,,22,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Fintech"
117,"Киев",6650,150,"Team/Technical Lead",10,1,"JavaScript",,31,"мужской","Незаконченное высшее","Другой вуз","False","средний","до 200 человек","Продуктовая","Інша"
118,"Киев",6600,200,"DevOps",10,2,,,38,"мужской","Высшее","Львовская Политехника","False","выше среднего","до 200 человек","Аутстаффинговая","Big Data, High Load Systems, Security"
119,"Киев",6600,200,"Team/Technical Lead",7,0,"TypeScript",,28,"мужской","Высшее","НАУ","False","выше среднего","до 50 человек","Стартап","Cloud Computing"
120,"Киев",6500,500,"Senior Software Engineer",5,0,"JavaScript",,29,"мужской","Высшее",,"False","продвинутый","до 1000 человек","Аутстаффинговая","Інша"
121,"Львов",6500,-500,"Director of Engineering / Program Director",10,4,,,42,"мужской","Два высших","Львовская Политехника","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Embedded, Telecom"
122,"Киев",6500,500,"Director of Engineering / Program Director",2,2,,,30,"мужской","Высшее","Другой вуз","False","продвинутый","до 1000 человек","Продуктовая","Fintech"
123,"Киев",6500,300,"System Architect",10,1,"Java",,36,"мужской","Высшее","Другой вуз","False","продвинутый","до 10 человек","Стартап","Blockchain"
124,"Львов",6500,2000,"Senior Software Engineer",10,2,"C#/.NET",,44,"мужской","Кандидат","ЛНУ им. Франко","False","выше среднего","до 10 человек","Продуктовая","ERP, Logistics"
125,"Львов",6500,1000,"Senior Software Engineer",7,1,"JavaScript",,24,"мужской","Незаконченное высшее","ЛНУ им. Франко","False","продвинутый","до 10 человек","Стартап","E-commerce"
126,"Киев",6500,1300,"Senior Software Engineer",9,2,"JavaScript",,31,"мужской","Два высших","КНУ им. Шевченко","False","продвинутый","до 1000 человек","Аутстаффинговая","Інша"
127,"Харьков",6500,2000,"Team/Technical Lead",7,5,"Python",,32,"мужской","Высшее","ДНУ им. Гончара","False","средний","до 200 человек","Аутстаффинговая","E-commerce"
128,"Днепр",6500,300,"Director of Engineering / Program Director",10,6,,,39,"мужской","Два высших","ДонНУ им. Васыля Стуса","False","продвинутый","до 200 человек","Продуктовая","Adtech, Big Data, High Load Systems"
129,"Киев",6500,2500,"Director of Engineering / Program Director",7,7,,,37,"женский","Незаконченное высшее",,"False","выше среднего","до 10 человек","Аутсорсинговая","Geospatial"
130,"Киев",6500,0,"Senior Project manager / Program Manager",10,"0.5",,,41,"мужской","Высшее","Другой вуз","False","продвинутый","до 200 человек","Аутсорсинговая","Media, Medtech"
131,"Львов",6500,0,"Senior Software Engineer",10,3,"Python",,39,"мужской","Высшее","Другой вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Telecom"
132,"Киев",6500,500,"Product Manager",3,5,,,24,"женский","Высшее","КНУ им. Шевченко","False","продвинутый","до 200 человек","Продуктовая","E-commerce, Mobile"
133,"Киев",6500,1000,"Team/Technical Lead",9,0,"Java",,27,"мужской","Высшее","Другой вуз","False","продвинутый","до 10 человек","Стартап","Machine Learning, Media"
134,"Киев",6500,-1500,"Senior Software Engineer",9,0,"Java",,28,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Продуктовая","Cloud Computing"
135,"Киев",6500,1000,"DBA",7,2,,,32,"мужской","Высшее",,"False","выше среднего","до 200 человек","Продуктовая","Big Data, Fintech, Інша"
136,"Львов",6400,1000,"Team/Technical Lead",7,0,"Python",,28,"мужской","Высшее","Львовская Политехника","False","выше среднего","до 200 человек","Аутсорсинговая","Big Data, High Load Systems"
137,"Днепр",6400,1200,"Team/Technical Lead",10,5,"Java",,33,"мужской","Высшее","Другой вуз","False","выше среднего","до 1000 человек","Продуктовая","Big Data, Cloud Computing, Data Science"
138,"Киев",6400,400,"Director of Engineering / Program Director",9,3,,,32,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 50 человек","Стартап","Fintech"
139,"Киев",6400,500,"Team/Technical Lead",10,2,"Swift",,28,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 200 человек","Продуктовая","Mobile"
140,"Киев",6400,800,"Team/Technical Lead",8,7,"Ruby/Rails",,27,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Продуктовая","E-commerce"
141,"Киев",6400,800,"Senior Software Engineer",9,3,"Java",,32,"мужской","Высшее","ДНУ им. Гончара","False","продвинутый","до 200 человек","Продуктовая","Big Data"
142,"Киев",6300,-1100,"Director of Engineering / Program Director",10,7,,,41,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Інша"
