"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"1","Днепр",3400,400,"Senior Software Engineer",7,6,"C#/.NET","",27,"мужской","Высшее","ДНУ им. Гончара","False","средний","до 50 человек","Продуктовая","Другое"
"2","Киев",2800,1300,"QA engineer",1.5,1,"","Automation QA",21,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 50 человек","Стартап","Веб-разработка"
"3","Львов",2000,100,"Senior Software Engineer",10,10,"Ruby/Rails","",34,"мужской","Высшее","ДонНУ им. Васыля Стуса","False","выше среднего","до 50 человек","Аутстаффинговая","Веб-разработка,Другое"
"4","Одесса",8000,3000,"Senior Software Engineer",10,3,"Ruby/Rails","",40,"мужской","Незаконченное высшее","ДонНТУ","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"5","Днепр",3200,1200,"Software Engineer",5,4,"PHP","",31,"мужской","Высшее","НметАУ","False","средний","до 10 человек","Аутсорсинговая","eCommerce"
"6","Киев",3000,500,"Software Engineer",6,0.5,"Java","",27,"мужской","Высшее","НАУ","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка,Другое"
"7","Киев",4000,0,"Senior Software Engineer",9,1.5,"PHP","",30,"мужской","Высшее","Другой вуз","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка,Финансы и банки"
"8","Киев",2700,0,"Senior QA engineer",10,7,"","General QA",35,"мужской","Высшее","КНУ им. Шевченко","False","ниже среднего","до 50 человек","Продуктовая","Desktop Applications,Веб-разработка"
"9","Киев",1000,200,"QA engineer",1.5,1.5,"","Manual QA",24,"женский","Высшее","Другой вуз","False","продвинутый","до 200 человек","Аутсорсинговая","Веб-разработка"
"10","Киев",3700,100,"Senior Software Engineer",8,4,"JavaScript","",29,"мужской","Высшее","ЖГТУ","False","средний","до 50 человек","Продуктовая","Веб-разработка,Финансы и банки"
"11","Харьков",1100,600,"Project manager",2,1.5,"","",24,"женский","Высшее","ХНУ им. Каразина","False","средний","до 200 человек","Аутсорсинговая","eCommerce"
"12","Львов",1900,1100,"Software Engineer",2,2,"Java","",21,"мужской","Высшее","ЛНУ им. Франко","True","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"13","Киев",1800,300,"Project manager",4,0,"","",29,"женский","Высшее","Другой вуз","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"14","Киев",4845,300,"Senior Software Engineer",6,1,"Scala","",27,"мужской","Высшее","Львовская Политехника","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Другое"
"15","Киев",3000,250,"Software Engineer",6,0.5,"C#/.NET","",26,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 10 человек","Продуктовая","Другое"
"16","Харьков",4000,0,"Senior Software Engineer",10,9,"JavaScript","",30,"мужской","Высшее","Другой вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"17","Харьков",1150,0,"Project manager",1,1,"","",30,"мужской","Высшее","ХНУ им. Каразина","False","выше среднего","до 1000 человек","Продуктовая","Gamedev,eCommerce"
"18","Киев",2000,600,"Software Engineer",4,0,"JavaScript","",23,"мужской","Техникум / Колледж","","False","выше среднего","до 200 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"19","Львов",720,300,"Junior Software Engineer",1.5,1.5,"Golang","",29,"мужской","Высшее","Львовская Политехника","True","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"20","Днепр",670,270,"Project manager",1.5,1,"","",26,"мужской","Два высших","Другой вуз","False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"21","Киев",950,400,"QA engineer",1.5,1.5,"","Manual QA",24,"мужской","Высшее","НТУУ «КПИ»","False","ниже среднего","до 200 человек","Продуктовая","Корпоративные системы"
"22","Днепр",1200,500,"Business analyst",4,0.5,"","",28,"мужской","Высшее","Другой вуз","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"23","Киев",1100,500,"Designer",3,1.5,"","",27,"мужской","Два высших","КНУСА","False","продвинутый","до 50 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"24","Удаленно",1088,217,"Junior Software Engineer",10,10,"C#/.NET","",31,"мужской","Высшее","Другой вуз","False","ниже среднего","до 10 человек","Другая","Desktop Applications"
