"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"1","Сумы",500,100,"Software Engineer",10,10,"C++","",37,"мужской","Высшее","СумГУ","False","ниже среднего","до 50 человек","Другая","Desktop Applications,Корпоративные системы"
"2","Киев",1000,200,"QA engineer",2,1,"","Manual QA",25,"женский","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутсорсинговая","Корпоративные системы"
"3","Киев",2000,500,"Software Engineer",3,2,"Scala","",23,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 50 человек","Продуктовая","eCommerce"
"4","Харьков",1500,0,"DevOps",2,0.5,"","",35,"мужской","Высшее","Другой вуз","False","средний","до 50 человек","Аутстаффинговая",""
"5","Киев",3750,2300,"Senior Software Engineer",3,0,"JavaScript","",27,"мужской","Техникум / Колледж","","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"6","Харьков",800,200,"Marketing",3,0.5,"","",25,"женский","Высшее","Другой вуз","False","выше среднего","до 50 человек","Аутсорсинговая","Мультимедиа"
"7","Львов",1500,700,"Software Engineer",2,2,"Java","",23,"мужской","Высшее","Львовская Политехника","False","средний","до 200 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"8","Киев",3600,400,"Software Engineer",6,0.5,"C++","",27,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 1000 человек","Продуктовая","Мультимедиа"
"9","Чернигов",600,300,"Software Engineer",2,1,"JavaScript","",20,"мужской","Среднее","","False","ниже среднего","до 50 человек","Аутсорсинговая","Android,Веб-разработка"
"10","Херсон",800,300,"Junior QA engineer",1,1,"","Manual QA",20,"мужской","Незаконченное высшее","Другой вуз","True","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Финансы и банки"
"11","Львов",3200,900,"Senior Software Engineer",5,1,"C#/.NET","",26,"мужской","Высшее","ЛНУ им. Франко","False","выше среднего","до 200 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"12","Харьков",450,-200,"Business analyst",1,0.25,"","",23,"мужской","Высшее","ХАИ","False","выше среднего","до 50 человек","Аутсорсинговая","eCommerce,Корпоративные системы"
"13","Днепр",1900,0,"Senior QA engineer",5,3,"","General QA",30,"мужской","Высшее","НГУ [Днепропетровск]","False","выше среднего","до 200 человек","Продуктовая","Веб-разработка,Мультимедиа"
"14","Киев",1500,400,"Software Engineer",2,1,"Java","",28,"женский","Высшее","НАУ","False","выше среднего","до 50 человек","Аутсорсинговая","Android,Другое"
"15","Киев",320,40,"Sysadmin",1.5,1,"","",22,"мужской","Незаконченное высшее","НТУУ «КПИ»","True","средний","до 50 человек","Аутсорсинговая","Другое"
"16","Киев",800,300,"DevOps",0.5,0.25,"","",29,"мужской","Высшее","ГУТ","False","средний","до 50 человек","Продуктовая","Системное программирование"
"17","Киев",3500,500,"DBA",9,0.5,"","",31,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 10 человек","Аутстаффинговая","eCommerce"
"18","Киев",1615,300,"Software Engineer",2,1,"C#/.NET","",28,"мужской","Высшее","НАУ","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"19","Киев",1200,900,"Junior Software Engineer",1.5,0.5,"Swift","",21,"мужской","Высшее","НАУ","True","ниже среднего","до 200 человек","Аутсорсинговая","iOS"
"20","Львов",2150,700,"QA engineer",5,5,"","Automation QA",29,"мужской","Высшее","Львовская Политехника","False","ниже среднего","свыше 1000 человек","Аутсорсинговая","Корпоративные системы"
"21","Днепр",1500,500,"QA engineer",3,1,"","Manual QA",26,"мужской","Высшее","НГУ [Днепропетровск]","False","ниже среднего","до 200 человек","Продуктовая","Веб-разработка,Корпоративные системы"
