"Город","salary","Должность","exp","Язык.программирования"
"116","Львов",5000,"Technical Lead",9.5,"PHP"
"117","Киев",3000,"Senior Software Engineer",10,"C#/.NET"
"118","Донецк",500,"Junior Software Engineer",0.5,"C#/.NET"
"119","Киев",2400,"Senior Software Engineer",5.5,"PHP"
"120","Киев",4000,"Team lead",10,""
"121","Черкассы",320,"Senior Software Engineer",4,"Ruby/Rails"
"122","Донецк",750,"Software Engineer",3,"C#/.NET"
"123","Львов",2500,"Software Engineer",2,"Ruby/Rails"
"124","Симферополь",2800,"Technical Lead",3,"PHP"
"125","Симферополь",562.5,"Дизайнер",6.5,""
"126","Львов",812.5,"Software Engineer",2,"PHP"
"127","Симферополь",1635,"Senior QA engineer",4,""
"128","Луганск",450,"Junior Software Engineer",1.5,"PHP"
"129","Харьков",2350,"Senior Software Engineer",5,"Java"
"130","Одесса",2300,"Senior Software Engineer",4,"PHP"
"131","Одесса",3200,"Project manager",5,""
"132","Харьков",2150,"Senior Software Engineer",2.5,"Ruby/Rails"
"133","Львов",1000,"Technical Lead",1.75,"Objective-C"
"134","Киев",1900,"QA engineer",1.75,""
"135","Львов",1700,"Software Engineer",4,"Java"
"136","Киев",2500,"Software Engineer",2,"Ruby/Rails"
"137","Харьков",1200,"Software Engineer",1.5,"Java"
"138","Киев",1125,"Software Engineer",2,"Python"
"139","Львов",1500,"Software Engineer",3,"C#/.NET"
"140","Киев",3000,"Software Engineer",4,"JavaScript"
"141","Донецк",375,"Junior Software Engineer",5.5,"Delphi"
"142","Киев",4000,"Project manager",8.5,""
"143","Киев",1300,"QA engineer",3,""
"144","Киев",500,"Project manager",3,""
"145","Харьков",1300,"Верстальщик",4,""
"146","Ровно",1300,"Software Engineer",4,"PHP"
"147","Харьков",3800,"Senior Project Manager / Program Manager",10,""
"148","Киев",2500,"Senior Software Engineer",10,"SQL"
"149","Киев",4000,"System Architect",10,"Java"
"150","Винница",3300,"Project manager",4,""
"151","Харьков",2500,"Software Engineer",10,"Ruby/Rails"
"152","Киев",1100,"Верстальщик",4.5,""
"153","Днепр.",2000,"Software Engineer",6,"C#/.NET"
"154","Одесса",1800,"Senior QA engineer",4,""
"155","Киев",2200,"QA engineer",2.5,""
"156","Киев",2000,"Technical Lead",3,"Java"
"157","Одесса",3500,"Senior Software Engineer",2,"Objective-C"
"158","Одесса",2500,"Team lead",5,""
"159","Одесса",2500,"Senior Software Engineer",5,"Python"
"160","Львов",3000,"Team lead",5.5,""
"161","Киев",2700,"Senior Software Engineer",5,"SQL"
"162","Киев",1000,"Software Engineer",1.5,"Delphi"
"163","Львов",950,"Software Engineer",2,"Objective-C"
"164","Одесса",2000,"Software Engineer",4,"Java"
"165","Харьков",1200,"Senior Software Engineer",1,"PHP"
"166","Одесса",500,"Junior Software Engineer",0,"Python"
"167","Харьков",400,"Junior Software Engineer",0,"Objective-C"
"168","Киев",1000,"Верстальщик",2,""
"169","Донецк",500,"Junior Software Engineer",0.5,"Python"
"170","Харьков",1500,"Верстальщик",4,""
"171","Киев",3500,"Senior Software Engineer",10,"Java"
"172","Киев",3200,"Senior Software Engineer",6,"Java"
"173","Киев",700,"Junior Software Engineer",0.75,"Java"
"174","Симферополь",2500,"Technical Lead",10,"Java"
"175","Киев",2700,"Software Engineer",4.5,"Java"
