"Город","salary","Должность","exp","Язык.программирования"
"501","Киев",1200,"Senior Software Engineer",5,"Python"
"502","Харьков",1500,"Software Engineer",1.75,"Java"
"503","Киев",2000,"Technical Lead",6,"C#/.NET"
"504","Харьков",500,"Software Engineer",3,"PHP"
"505","Киев",750,"Software Engineer",3,"Python"
"506","Киев",1125,"Software Engineer",2.5,"Java"
"507","Киев",1500,"Software Engineer",8.5,"PHP"
"508","Львов",3000,"Software Engineer",9,"Python"
"509","Киев",2000,"Software Engineer",5,"C++"
"510","Киев",800,"Junior Software Engineer",1.5,"C++"
"511","Киев",1700,"Software Engineer",2.5,"Java"
"512","Киев",2100,"Software Engineer",4,"Perl"
"513","Киев",2800,"Senior QA engineer",5,""
"514","Киев",1400,"QA engineer",0.75,""
"515","Днепр.",2500,"Senior Software Engineer",10,"Java"
"516","Харьков",1300,"Software Engineer",1.25,"C#/.NET"
"517","Днепр.",1700,"Software Engineer",3,"Java"
"518","Киев",3050,"Senior Software Engineer",9,"Java"
"519","Киев",2000,"Team lead",5,""
"520","Киев",3000,"Senior Software Engineer",2,"Objective-C"
"521","Киев",2000,"Software Engineer",4.5,"Python"
"522","Киев",2300,"Дизайнер",9,""
"523","Киев",2100,"Senior QA engineer",4.5,""
"524","Киев",2000,"Junior Software Engineer",0.75,"PHP"
"525","Киев",3500,"Technical Lead",9,"C#/.NET"
"526","Киев",800,"Junior Software Engineer",1,"PHP"
"527","Киев",2300,"Software Engineer",4,"Python"
"528","Киев",2940,"Project manager",5,""
"529","Киев",2700,"Software Engineer",4,"PHP"
"530","Днепр.",2200,"Senior Software Engineer",10,"SQL"
"531","Киев",2400,"Software Engineer",5,"PHP"
"532","Ровно",2000,"Junior Software Engineer",0.5,"PHP"
"533","Харьков",1500,"Бизнес-аналитик",4.5,""
"534","Киев",1800,"Software Engineer",2,"Python"
"535","Киев",2700,"Senior Software Engineer",10,"C#/.NET"
"536","Львов",4000,"Director of Engineering / Program Director",9,""
"537","Киев",3226,"System Architect",8,"C#/.NET"
"538","Киев",1650,"Software Engineer",1.5,"Ruby/Rails"
"539","Киев",2500,"Technical Lead",8,"PHP"
"540","Киев",2100,"Software Engineer",4,"C#/.NET"
"541","Киев",550,"Junior QA engineer",0.5,""
"542","Киев",1125,"Team lead",5,""
"543","Киев",2500,"QA Tech Lead",5.5,""
"544","Киев",2800,"Senior Software Engineer",8,"C#/.NET"
"545","Одесса",1300,"Junior Software Engineer",0.5,"C#/.NET"
"546","Киев",2800,"Team lead",6.5,""
"547","Киев",3600,"Team lead",5,""
"548","Киев",2700,"Software Engineer",3,"PHP"
"549","Харьков",2000,"Software Engineer",2,"Java"
"550","Киев",3900,"Senior Project Manager / Program Manager",10,""
"551","Киев",500,"Junior Software Engineer",0.5,"Java"
"552","Львов",1200,"Software Engineer",1.5,"Objective-C"
"553","Киев",1200,"Software Engineer",10,"PHP"
"554","Львов",2500,"Team lead",5,""
"555","Львов",3000,"Technical Lead",8,"C#/.NET"
"556","Киев",3150,"Team lead",10,""
"557","Харьков",1800,"Senior Software Engineer",5,"PHP"
"558","Кировоград",437.5,"Software Engineer",2,"PHP"
"559","Днепр.",2900,"Senior Software Engineer",6.5,"PHP"
"560","Киев",700,"Junior Software Engineer",0.5,"Objective-C"
"561","Киев",2000,"Бизнес-аналитик",3,""
"562","Хмельницкий",1250,"Software Engineer",2.5,"Java"
"563","Хмельницкий",1250,"Software Engineer",2,"Java"
"564","Львов",3500,"Technical Lead",6,"Java"
"565","Винница",625,"Системный администратор",3,""
"566","Винница",312.5,"Верстальщик",0.5,""
"567","Одесса",800,"Software Engineer",3,"Java"
"568","Донецк",400,"Junior Software Engineer",1.5,"Java"
"569","Киев",2500,"Software Engineer",5,"Java"
"570","Донецк",1700,"Software Engineer",2,"C#/.NET"
"571","Киев",3500,"Director of Engineering / Program Director",10,""
"572","Киев",2280,"Software Engineer",4,"C#/.NET"
"573","Николаев",900,"Junior Software Engineer",1.75,"Objective-C"
"574","Киев",1800,"QA engineer",4,""
"575","Киев",2500,"Software Engineer",3,"Java"
"576","Днепр.",3000,"Software Engineer",3,"Python"
"577","Киев",2700,"Бизнес-аналитик",6,""
"578","Львов",2375,"Team lead",10,""
"579","Харьков",1200,"Software Engineer",4,"C++"
"580","Киев",2700,"Senior Software Engineer",4,"Python"
"581","Запорожье",912.5,"Project manager",4.5,""
"582","Харьков",1700,"Software Engineer",4,"C#/.NET"
"583","Киев",2800,"Technical Lead",10,"C++"
"584","Киев",2500,"Senior Software Engineer",5,"C#/.NET"
"585","Симферополь",1300,"Software Engineer",3,"PHP"
"586","Киев",1500,"Software Engineer",3,"Python"
"587","Винница",800,"Software Engineer",9,"JavaScript"
"588","Киев",2750,"Senior Software Engineer",3.5,"C#/.NET"
"589","Киев",2950,"Team lead",5,""
"590","Киев",2700,"Team lead",6,""
"591","Львов",2000,"Project manager",2,""
"592","Одесса",1900,"Team lead",8,""
"593","Киев",1200,"QA engineer",1.5,""
"594","Киев",1600,"Junior Software Engineer",1.25,"Java"
"595","Киев",2075,"QA Tech Lead",7,""
"596","Харьков",2700,"QA Tech Lead",8,""
"597","Донецк",1200,"Senior Software Engineer",7,"SQL"
"598","Киев",3000,"Senior Software Engineer",5,"SQL"
"599","Харьков",1480,"Senior Software Engineer",7,"Java"
"600","Киев",1300,"Software Engineer",4,"Java"
"601","Львов",625,"Junior Software Engineer",0.75,"C#/.NET"
"602","Киев",1500,"Software Engineer",1,"Objective-C"
"603","Симферополь",2800,"Director of Engineering / Program Director",6,""
"604","Днепр.",800,"Software Engineer",4,"PHP"
"605","Киев",600,"Junior QA engineer",0.75,""
"606","Харьков",1000,"Junior Software Engineer",2,"C#/.NET"
"607","Луганск",1000,"Project manager",2,""
"608","Одесса",2700,"Project manager",4,""
"609","Одесса",2500,"Software Engineer",3,"Java"
"610","Киев",2400,"Senior Software Engineer",5.5,"Ruby/Rails"
"611","Харьков",3100,"Director of Engineering / Program Director",10,""
"612","Киев",2700,"Team lead",7,""
"613","Львов",2000,"Senior Software Engineer",5,"C"
"614","Луганск",1000,"Software Engineer",2,"C#/.NET"
"615","Киев",1300,"QA engineer",5,""
"616","Днепр.",720,"Software Engineer",2,"C#/.NET"
"617","Львов",1350,"Software Engineer",3.5,"C#/.NET"
"618","Харьков",850,"Верстальщик",3,"JavaScript"
"619","Киев",900,"Junior Software Engineer",1.5,"Java"
"620","Киев",375,"Junior QA engineer",0.5,""
"621","Днепр.",2600,"Системный администратор",10,""
"622","Киев",1000,"Software Engineer",1.5,"Objective-C"
"623","Севастополь",700,"Software Engineer",0.5,"Objective-C"
"624","Запорожье",1600,"Team lead",1.25,""
"625","Днепр.",1200,"Junior Software Engineer",0.75,"Java"
"626","Киев",2000,"Senior QA engineer",9,""
"627","Донецк",1000,"Senior Software Engineer",3,"PHP"
"628","Киев",600,"Junior Software Engineer",0.75,"Java"
"629","Киев",1300,"QA engineer",5,""
"630","Киев",2000,"Junior Software Engineer",1,"Java"
"631","Киев",2829,"Senior QA engineer",5,""
"632","Киев",2950,"Senior Software Engineer",6,"Java"
"633","Днепр.",500,"Junior Software Engineer",0.75,"C#/.NET"
"634","Днепр.",1500,"Software Engineer",3,"C"
"635","Киев",2300,"Senior QA engineer",7,""
"636","Киев",2650,"QA Tech Lead",8,""
"637","Одесса",1000,"QA engineer",1.75,""
"638","Киев",1800,"Senior QA engineer",10,""
"639","Ивано-Франковск",700,"Software Engineer",10,"Delphi"
"640","Львов",2200,"Software Engineer",5,"C++"
"641","Киев",2400,"Software Engineer",4.5,"Java"
"642","Львов",1700,"Senior QA engineer",3.5,""
"643","Киев",2000,"QA Tech Lead",9,""
"644","Киев",2000,"QA engineer",7,""
"645","Киев",3500,"Senior Software Engineer",8,"C#/.NET"
"646","Днепр.",1000,"QA engineer",1.25,""
"647","Киев",3500,"Senior Software Engineer",4,"C"
"648","Харьков",800,"Software Engineer",1.25,"C#/.NET"
"649","Киев",1500,"Software Engineer",1.5,"Java"
"650","Киев",1300,"Software Engineer",1.25,"Java"
"651","Днепр.",2500,"Senior Software Engineer",3,"Java"
"652","Киев",1000,"Software Engineer",2,"PHP"
"653","Киев",2500,"Technical Lead",9,"SQL"
"654","Львов",1700,"Software Engineer",3,"Java"
"655","Киев",1000,"Software Engineer",2.5,"PHP"
"656","Киев",2500,"Team lead",7,""
"657","Киев",2500,"Senior Software Engineer",5,"C#/.NET"
"658","Львов",2650,"Technical Lead",8,"PHP"
"659","Киев",2750,"Системный администратор",5,""
"660","Киев",5000,"Director of Engineering / Program Director",8,""
"661","Симферополь",3500,"Technical Lead",8,"C#/.NET"
"663","Киев",3300,"Senior Software Engineer",8,"Python"
"664","Черновцы",400,"Junior Software Engineer",0.5,"C#/.NET"
"665","Киев",1000,"Software Engineer",1.5,"PHP"
"666","Киев",1500,"Software Engineer",4,"Python"
"667","Киев",1500,"Software Engineer",2,"C#/.NET"
"668","Харьков",900,"Системный администратор",1.25,""
"669","Киев",3500,"Technical Lead",6,"Java"
"670","Киев",2500,"Дизайнер",10,""
"671","Днепр.",1500,"Software Engineer",3,"Java"
"672","Киев",2300,"Senior QA engineer",3,""
"673","Харьков",600,"Junior Software Engineer",0,"Java"
"674","Киев",2640,"Software Engineer",7,"C#/.NET"
"675","Харьков",1700,"Senior Software Engineer",5,"PHP"
"676","Харьков",1900,"Senior Software Engineer",8,"PHP"
"677","Киев",2000,"QA engineer",5,""
"678","Харьков",800,"Junior Software Engineer",0.75,"PHP"
"679","Харьков",1500,"Верстальщик",8,""
"680","Харьков",1300,"Software Engineer",2.5,"PHP"
"681","Харьков",2500,"Senior Software Engineer",4,"C#/.NET"
"682","Львов",1200,"Software Engineer",5,"Java"
"683","Киев",2600,"Senior Software Engineer",6,"PHP"
"684","Днепр.",2500,"Project manager",2,""
"685","Днепр.",1700,"Software Engineer",3.5,"JavaScript"
"686","Днепр.",1500,"Software Engineer",2,"C++"
"687","Киев",2700,"Software Engineer",3,"Java"
"688","Киев",500,"Junior QA engineer",0.75,""
"689","Донецк",1000,"Software Engineer",1.5,"Java"
"690","Харьков",2300,"Senior Software Engineer",3,"C#/.NET"
"691","Днепр.",375,"Junior Software Engineer",2,"PHP"
"692","Чернигов",2800,"Senior Software Engineer",6,"Java"
"693","Херсон",2000,"Senior Software Engineer",6,"C#/.NET"
"694","Киев",1800,"Гейм-дизайнер",5,""
"695","Киев",2000,"Software Engineer",2,"Java"
"696","Львов",2500,"Project manager",4.5,""
"697","Киев",2500,"Technical Lead",8,"PHP"
"698","Киев",1000,"QA engineer",2,""
"699","Днепр.",1025,"Software Engineer",1,"C#/.NET"
"700","Харьков",1200,"QA engineer",1.25,""
"701","Харьков",800,"Junior Software Engineer",0,"C"
"702","Киев",3500,"Project manager",5,""
"703","Симферополь",1000,"Верстальщик",4.5,""
"704","Запорожье",1000,"Software Engineer",3.5,"PHP"
"705","Днепр.",1000,"Junior Software Engineer",3.5,"PHP"
"706","Запорожье",800,"Project manager",0.5,""
"707","Харьков",2250,"Software Engineer",5,"Objective-C"
"708","Харьков",2200,"Senior Software Engineer",5.5,"C++"
"709","Львов",2300,"Senior Software Engineer",7,"C#/.NET"
"710","Киев",1200,"Software Engineer",3,"Java"
"711","Киев",1200,"Junior Software Engineer",2,"C++"
"712","Львов",2600,"Senior Software Engineer",6,"C#/.NET"
"713","Киев",1400,"QA engineer",0.75,""
"714","Киев",2200,"Team lead",10,""
"715","Харьков",2000,"Software Engineer",3,"Objective-C"
"716","Киев",2300,"Software Engineer",6.5,"Python"
"717","Киев",3000,"Software Engineer",3.5,"Java"
"718","Киев",850,"QA engineer",0.75,""
"719","Львов",2600,"Senior Software Engineer",6,"C#/.NET"
"720","Львов",1600,"Senior QA engineer",4,""
"721","Киев",750,"Junior Software Engineer",0.5,"Java"
"722","Киев",1200,"QA engineer",2.5,""
"723","Чернигов",3700,"Director of Engineering / Program Director",7,""
"724","Львов",2800,"Project manager",6.5,""
"725","Киев",1300,"Software Engineer",1.25,"C#/.NET"
"726","Днепр.",2500,"Senior Software Engineer",8,"C#/.NET"
"727","Киев",2600,"QA Tech Lead",7,""
"728","Киев",2632,"Senior Software Engineer",2.5,"C++"
"729","Киев",2500,"Software Engineer",3,"Objective-C"
"730","Киев",3000,"Senior Software Engineer",8,"Java"
"731","Львов",300,"Software Engineer",10,"Delphi"
"732","Киев",2200,"Software Engineer",2.5,"Flex/Flash/AIR"
"733","Киев",1177,"Junior Software Engineer",1,"C++"
"734","Киев",1200,"Junior Software Engineer",1.25,"Java"
"735","Севастополь",600,"Junior Software Engineer",0,"Java"
"736","Сумы",500,"QA engineer",1.5,""
"737","Львов",500,"Software Engineer",4,"Java"
"738","Киев",2500,"Software Engineer",3,"C#/.NET"
"739","Одесса",2300,"Software Engineer",3,"Java"
"740","Киев",900,"Junior Software Engineer",1,"Java"
"741","Киев",1750,"Software Engineer",6,"Java"
"742","Киев",1250,"Project manager",2,""
"743","Киев",2375,"Software Engineer",5,"Java"
"744","Харьков",1000,"Software Engineer",4,"PHP"
"745","Киев",800,"QA engineer",0.75,""
"746","Днепр.",1500,"QA engineer",1.5,""
"747","Киев",2800,"Technical Lead",10,"Java"
"748","Киев",2300,"Software Engineer",4.5,"C#/.NET"
"749","Киев",2230,"Technical Lead",3,"Java"
"750","Киев",625,"Junior Software Engineer",0.25,"Java"
"751","Киев",1100,"Junior Software Engineer",0.5,"Java"
"752","Киев",2000,"Director of Engineering / Program Director",0.5,""
"753","Киев",1050,"Junior Software Engineer",1.25,"C#/.NET"
"754","Киев",2000,"Software Engineer",5,"JavaScript"
"755","Киев",2500,"Director of Engineering / Program Director",5,""
"756","Львов",2900,"Technical Lead",10,"Java"
"757","Черновцы",1100,"Software Engineer",2.5,"Java"
"758","Львов",1785,"Системный администратор",7,""
"759","Киев",3800,"Team lead",8,""
"760","Киев",4000,"Senior Project Manager / Program Manager",6,""
"761","Львов",1600,"Senior QA engineer",5.5,""
"762","Харьков",1000,"Software Engineer",1.5,"PHP"
"763","Харьков",2100,"Senior Software Engineer",10,"Delphi"
"764","Харьков",800,"Software Engineer",5,"Delphi"
"765","Львов",2200,"Software Engineer",7,"Python"
"766","Львов",2200,"Software Engineer",10,"C"
"768","Харьков",1000,"Senior QA engineer",3.5,""
"769","Киев",3100,"Senior Software Engineer",5.5,"Flex/Flash/AIR"
"770","Киев",1000,"Senior Software Engineer",7,"PHP"
"771","Киев",1000,"Team lead",5,""
"772","Киев",2500,"Software Engineer",3,"Java"
"773","Днепр.",2700,"Technical Lead",6,"Java"
"774","Киев",1650,"Software Engineer",2.5,"C#/.NET"
"775","Харьков",1000,"Senior QA engineer",2.5,""
"776","Киев",1600,"Software Engineer",3,"C#/.NET"
"777","Винница",750,"Software Engineer",2.5,"C#/.NET"
"778","Львов",900,"QA engineer",3,""
"779","Днепр.",1500,"Software Engineer",1.5,"Python"
"780","Львов",900,"QA engineer",2.5,""
"781","Симферополь",2000,"Team lead",7,""
"782","Киев",1250,"Software Engineer",1.75,"C#/.NET"
"783","Харьков",2900,"Senior Software Engineer",0.5,"Scala"
"784","Киев",1500,"QA engineer",1.25,""
"785","Киев",1800,"Software Engineer",3,"C#/.NET"
"786","Киев",3500,"Senior Software Engineer",8,"Java"
"787","Львов",1350,"Software Engineer",1.75,"PHP"
"788","Севастополь",1125,"Software Engineer",3,"Python"
"789","Львов",750,"QA engineer",3.5,""
"790","Львов",700,"Junior QA engineer",1.5,""
"791","Севастополь",650,"Junior Software Engineer",1,"Java"
"792","Житомир",1200,"Software Engineer",5,"C#/.NET"
"793","Киев",750,"Junior Software Engineer",1.5,"Python"
"794","Львов",450,"Junior Software Engineer",0.75,"C#/.NET"
"795","Львов",1900,"Software Engineer",7,"Ruby/Rails"
"796","Львов",850,"Software Engineer",2,"Java"
"797","Харьков",900,"QA engineer",2,""
"798","Львов",2200,"Senior QA engineer",6,""
"799","Киев",4000,"Team lead",7,""
"800","Харьков",800,"Junior Software Engineer",1.5,"Ruby/Rails"
"801","Львов",500,"Junior Software Engineer",0.25,"SQL"
"802","Львов",1750,"Junior Software Engineer",2,"Java"
"803","Киев",2000,"Software Engineer",1.25,"Python"
"804","Киев",2000,"Senior Software Engineer",10,"C++"
"805","Харьков",400,"Junior Software Engineer",0.25,"C#/.NET"
"806","Львов",1500,"Software Engineer",4.5,"SQL"
"807","Киев",2700,"Senior Software Engineer",5,"C#/.NET"
"808","Николаев",1000,"Software Engineer",3,"C++"
"809","Киев",1700,"Senior Software Engineer",5,"C#/.NET"
"810","Львов",1000,"Junior Software Engineer",7,"Java"
"811","Днепр.",500,"Junior Software Engineer",10,"Python"
"812","Киев",1875,"Бизнес-аналитик",5.5,""
"813","Днепр.",2700,"Senior Software Engineer",8,"C#/.NET"
"814","Запорожье",1300,"Software Engineer",0,"PHP"
"815","Львов",400,"Junior Software Engineer",0.25,"JavaScript"
"816","Львов",3200,"Technical Lead",7,"C#/.NET"
"817","Запорожье",650,"Верстальщик",1.5,""
"818","Днепр.",875,"Junior Software Engineer",1.25,"JavaScript"
"819","Одесса",3900,"Project manager",1,""
"820","Запорожье",1500,"Software Engineer",3,"PHP"
"821","Киев",1350,"Junior Software Engineer",1,"Objective-C"
"822","Харьков",2200,"Software Engineer",5.5,"Objective-C"
"823","Днепр.",500,"Junior Software Engineer",0,"C#/.NET"
"824","Николаев",800,"Software Engineer",0.75,"Java"
"825","Николаев",1200,"Software Engineer",6,"PHP"
"826","Киев",2000,"Software Engineer",2,"C#/.NET"
"827","Ивано-Франковск",600,"Junior Software Engineer",1,"Flex/Flash/AIR"
"828","Львов",1600,"Software Engineer",1.5,"Java"
"829","Николаев",400,"Junior Software Engineer",0,"PHP"
"830","Днепр.",1875,"Software Engineer",6,"C++"
"831","Винница",1000,"Senior Software Engineer",4.5,"Java"
"832","Киев",1700,"QA engineer",2,""
"833","Николаев",2800,"Team lead",10,""
"834","Киев",3700,"Senior Software Engineer",4.5,"Java"
"835","Киев",2600,"Software Engineer",10,"C++"
"836","Харьков",1040,"Junior Software Engineer",0.75,"Java"
"837","Симферополь",1300,"QA Tech Lead",4,""
"838","Киев",2500,"QA engineer",5,""
"839","Харьков",2500,"Project manager",5,""
"840","Харьков",1000,"Junior Software Engineer",1.5,"Java"
"841","Киев",1200,"Senior QA engineer",3,""
"842","Донецк",687.5,"Software Engineer",4.5,"PHP"
"843","Львов",2000,"Director of Engineering / Program Director",10,""
"844","Днепр.",3200,"Software Engineer",5.5,"Java"
"845","Киев",600,"Junior Software Engineer",0.5,"Java"
"846","Киев",1100,"Software Engineer",0.75,"Java"
"847","Киев",500,"Junior Software Engineer",0.25,"C#/.NET"
"848","Киев",1000,"Junior Software Engineer",1.75,"Objective-C"
"849","Харьков",950,"Системный администратор",8,""
"850","Киев",4000,"Senior Software Engineer",10,"Java"
"851","Днепр.",1375,"Junior Software Engineer",0.25,"Java"
"852","Киев",1100,"Software Engineer",6,"PHP"
"853","Днепр.",3250,"Team lead",5.5,""
"854","Киев",2300,"Project manager",2,""
"855","Киев",3740,"Technical Lead",7.5,"Java"
"856","Донецк",800,"Software Engineer",3,"PHP"
"857","Киев",3300,"Senior QA engineer",6.5,""
"858","Киев",2400,"Senior Software Engineer",7,"C++"
"859","Киев",2600,"Software Engineer",5,"Java"
"860","Винница",1000,"Senior Software Engineer",3,"PHP"
"861","Днепр.",2100,"Senior Software Engineer",9.5,"SQL"
"862","Киев",1700,"Project manager",3,""
"863","Киев",4000,"Senior Software Engineer",0,"Java"
"864","Чернигов",4000,"Senior Software Engineer",5.5,"C++"
"865","Киев",3500,"Senior Software Engineer",6,"Java"
"866","Киев",900,"Junior QA engineer",1.25,""
"867","Киев",2900,"Senior Software Engineer",5.5,"C#/.NET"
"868","Винница",2000,"Senior Software Engineer",8,"C++"
"869","Днепр.",1000,"Software Engineer",0.75,"Java"
"870","Днепр.",2500,"Team lead",4.5,""
"871","Киев",2000,"Software Engineer",5,"C#/.NET"
"872","Днепр.",2800,"Project manager",5,""
"873","Киев",2000,"Дизайнер",3,""
"874","Киев",2000,"Senior QA engineer",3,""
"875","Запорожье",1800,"Senior Software Engineer",6,"Ruby/Rails"
"876","Днепр.",1900,"Senior Software Engineer",6,"PHP"
"877","Львов",800,"Junior Software Engineer",0.75,"Java"
"878","Днепр.",830,"QA engineer",0.5,""
"879","Днепр.",2000,"Team lead",6.5,""
"880","Николаев",1200,"QA engineer",1,""
"881","Киев",3000,"Technical Lead",10,"Java"
"882","Киев",2700,"Senior Software Engineer",4,"SQL"
"883","Киев",500,"Junior QA engineer",0,""
"884","Киев",2300,"Senior Software Engineer",8,"C#/.NET"
"885","Житомир",700,"Junior Software Engineer",1,"C#/.NET"
"886","Харьков",2400,"Project manager",8,""
"887","Киев",2200,"Senior Software Engineer",3,"C#/.NET"
"888","Львов",600,"Junior Software Engineer",1,"C#/.NET"
"889","Киев",600,"Junior Software Engineer",0,"C"
"890","Киев",900,"Junior Software Engineer",0.75,"C#/.NET"
"891","Киев",3000,"Senior Software Engineer",4.5,"Java"
"892","Донецк",700,"Software Engineer",3,"C#/.NET"
"893","Киев",1000,"QA engineer",1,""
"894","Днепр.",3125,"System Architect",10,"C++"
"895","Харьков",3500,"Senior Software Engineer",7,"Python"
"896","Львов",300,"Junior Software Engineer",0.25,"Python"
"897","Киев",4800,"System Architect",5,"C#/.NET"
"898","Харьков",500,"Системный администратор",3,""
"899","Киев",950,"Junior QA engineer",1,""
"900","Киев",3500,"Team lead",8,""
"901","Харьков",1500,"Software Engineer",2,"PHP"
"902","Киев",1000,"Software Engineer",3,"PHP"
"903","Мариуполь",375,"Software Engineer",7,"PHP"
"904","Харьков",700,"Software Engineer",1.75,"C++"
"905","Донецк",1200,"Software Engineer",4,"C#/.NET"
"906","Днепр.",2800,"Системный администратор",7,""
"907","Днепр.",2400,"Senior Software Engineer",5.5,"Java"
"908","Киев",1800,"Software Engineer",1.75,"Objective-C"
"909","Киев",2200,"Team lead",10,""
"910","Винница",3300,"Junior QA engineer",0.75,""
"911","Львов",1800,"Software Engineer",3,"Java"
"912","Днепр.",2500,"Software Engineer",2,"Scala"
"914","Одесса",4000,"Project manager",2,""
"915","Львов",1800,"Senior Software Engineer",4,"C#/.NET"
"916","Киев",1200,"Software Engineer",1,"Objective-C"
"917","Киев",700,"Верстальщик",0.5,""
"918","Днепр.",1000,"Team lead",2,""
"919","Харьков",1550,"Верстальщик",5,""
"920","Львов",500,"Junior Software Engineer",0.5,"PHP"
"921","Киев",900,"QA engineer",1.75,""
"922","Одесса",1800,"Software Engineer",2,"Java"
"923","Киев",2200,"Software Engineer",2.5,"PHP"
"924","Харьков",2400,"QA Tech Lead",6,""
"925","Харьков",2600,"Senior Software Engineer",6,"Java"
"926","Киев",2000,"Senior Software Engineer",6,"C#/.NET"
"927","Киев",437.5,"Software Engineer",3,"C#/.NET"
"928","Харьков",2850,"Senior Software Engineer",3.5,"Java"
"929","Киев",1400,"QA engineer",1.75,""
"930","Киев",4000,"Technical Lead",7.5,"Java"
"931","Киев",625,"Системный администратор",5,""
"932","Киев",1000,"Software Engineer",1.5,"Python"
"934","Киев",3800,"Senior Software Engineer",5.5,"Ruby/Rails"
"935","Харьков",1500,"Системный администратор",7,""
"936","Киев",2300,"Senior Software Engineer",0.75,"Java"
"937","Донецк",1500,"Software Engineer",3.5,"C++"
"938","Днепр.",3000,"Senior Software Engineer",8,"Java"
"939","Днепр.",900,"Project manager",1,""
"940","Киев",3000,"Senior Software Engineer",9,"Java"
"941","Киев",1800,"Senior QA engineer",7.5,""
"942","Харьков",2800,"Software Engineer",5,"Python"
"943","Киев",1300,"Technical Lead",2.5,"Java"
"944","Киев",3000,"Senior Software Engineer",8,"C++"
"945","Харьков",3000,"Senior Software Engineer",10,"Objective-C"
"946","Киев",2050,"Project manager",8,"C#/.NET"
"947","Харьков",1400,"Software Engineer",3.5,"PHP"
"948","Киев",2500,"Software Engineer",3.5,"Python"
"949","Киев",3200,"Technical Lead",9,"PHP"
"950","Львов",3000,"Team lead",9,""
"951","Донецк",1312.5,"Team lead",5,""
"952","Днепр.",2500,"Senior Software Engineer",6.5,"Java"
"953","Харьков",700,"Software Engineer",5,"PHP"
"954","Львов",3625,"Senior Software Engineer",6,"Java"
"955","Днепр.",3000,"Software Engineer",7.5,"Objective-C"
"956","Харьков",2400,"Senior Software Engineer",6.5,"C#/.NET"
"957","Харьков",2700,"Senior Software Engineer",2,"Objective-C"
"958","Львов",500,"Junior QA engineer",0.75,""
"959","Чернигов",1000,"Software Engineer",1.75,"Python"
"960","Киев",2700,"Team lead",6,""
"961","Киев",2200,"Software Engineer",2,"Java"
"962","Киев",650,"Junior Software Engineer",0.25,"Java"
"963","Львов",3000,"System Architect",5,"Java"
"964","Киев",1562.5,"Системный администратор",2,""
"965","Днепр.",500,"Junior QA engineer",1.25,""
"966","Николаев",2000,"Software Engineer",2,"Perl"
"967","Киев",1250,"Software Engineer",3,"Python"
"968","Киев",2100,"Software Engineer",5,"Ruby/Rails"
"969","Киев",800,"Верстальщик",3,""
"970","Харьков",3200,"Senior Software Engineer",10,"Objective-C"
"971","Львов",3000,"Technical Lead",10,"Java"
"972","Киев",4300,"Project manager",6.5,""
"973","Львов",2800,"Technical Lead",7,"C++"
"974","Киев",1562.5,"Software Engineer",4,"C#/.NET"
"975","Харьков",2300,"Senior Software Engineer",7,"C#/.NET"
"976","Киев",1936,"Software Engineer",4,"Python"
"977","Днепр.",1625,"Software Engineer",1,"Java"
"978","Киев",2000,"Senior QA engineer",3.5,""
"979","Харьков",1200,"Software Engineer",2.5,"C#/.NET"
"980","Харьков",1700,"Software Engineer",4,"PHP"
"981","Львов",1800,"Software Engineer",4,"C#/.NET"
"982","Харьков",2500,"Senior Software Engineer",5,"C#/.NET"
"983","Днепр.",1000,"Software Engineer",1.5,"Java"
"984","Одесса",825,"Software Engineer",10,"C#/.NET"
"985","Львов",1850,"QA Tech Lead",6,""
"986","Киев",1800,"Software Engineer",4.5,"PHP"
"987","Николаев",1200,"Senior Software Engineer",10,"Delphi"
"988","Винница",1200,"Senior Software Engineer",3.5,"Objective-C"
"989","Киев",2500,"QA Tech Lead",6,""
"991","Днепр.",900,"Software Engineer",3,"PHP"
"992","Киев",1300,"Junior Software Engineer",0.75,"Java"
"993","Харьков",1400,"Software Engineer",3.5,"PHP"
"994","Харьков",1000,"Software Engineer",1.75,"Objective-C"
"995","Киев",1400,"Junior Software Engineer",1.75,"C#/.NET"
"996","Киев",2100,"Senior Software Engineer",4.5,"Java"
"997","Львов",2400,"Senior Software Engineer",6,"Java"
"998","Симферополь",1800,"Software Engineer",1,"Objective-C"
"999","Черкассы",875,"Software Engineer",2,"Java"
"1000","Одесса",1600,"Software Engineer",1.5,"C#/.NET"
"1001","Киев",500,"Junior Software Engineer",0.5,"C#/.NET"
"1002","Львов",1200,"Software Engineer",1.5,"C#/.NET"
"1003","Севастополь",1000,"Software Engineer",3.5,"Objective-C"
"1004","Харьков",1400,"Software Engineer",1.5,"Java"
"1005","Киев",600,"Junior QA engineer",0.75,""
"1006","Харьков",700,"Junior Software Engineer",0.5,"C#/.NET"
"1007","Киев",1600,"Software Engineer",4,"C++"
"1008","Одесса",3500,"Senior Project Manager / Program Manager",7,""
"1009","Киев",1500,"Senior Software Engineer",8,"PHP"
"1010","Чернигов",2500,"Software Engineer",1.75,"Java"
"1011","Харьков",550,"Junior QA engineer",0.75,""
"1012","Киев",500,"Junior Software Engineer",2,"Java"
"1013","Днепр.",1250,"Бизнес-аналитик",5,""
"1014","Одесса",3300,"Senior Software Engineer",8,"Java"
"1015","Одесса",3750,"Senior Software Engineer",5,"Java"
"1016","Киев",2700,"Software Engineer",5,"JavaScript"
