"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"7757","Киев",1200,0,"QA engineer",6,6,"","Manual QA",32,"женский","Высшее","ДонНТУ","False","средний","до 10 человек","Аутсорсинговая",""
"7758","Харьков",400,300,"Junior QA engineer",0.5,0,"","Manual QA",25,"мужской","Высшее","НТУ «ХПИ»","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"7759","Харьков",300,0,"Project manager",0.5,0.5,"","",20,"женский","Незаконченное высшее","ХНЭУ","True","ниже среднего","до 200 человек","Другая","eCommerce"
"7760","Днепр",1400,0,"Software Engineer",2,0.5,"Ruby/Rails","",26,"мужской","Высшее","НметАУ","False","средний","до 50 человек","Продуктовая","Веб-разработка,Другое"
"7761","Днепр",1300,900,"Junior Software Engineer",1,0.5,"Ruby/Rails","",27,"мужской","Высшее","НметАУ","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка"
"7762","Киев",430,0,"Junior Software Engineer",0.25,0,"C++","",26,"женский","Два высших","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Системное программирование"
"7763","Харьков",600,200,"Junior Software Engineer",1.5,1.5,"Swift","",25,"женский","Незаконченное высшее","ХНУРЭ","True","средний","до 1000 человек","Аутстаффинговая","iOS"
"7764","Тернополь",3500,1000,"Senior Software Engineer",5,0.25,"PHP","",26,"мужской","Высшее","Другой вуз","False","продвинутый","до 10 человек","Аутсорсинговая","eCommerce"
"7765","Киев",550,400,"Junior QA engineer",0.5,0,"","Manual QA",24,"женский","Высшее","КНУ им. Шевченко","False","средний","до 200 человек","Продуктовая","Android,Корпоративные системы"
"7766","Харьков",600,200,"Support",3,1,"","",26,"мужской","Высшее","НТУ «ХПИ»","False","выше среднего","до 50 человек","Продуктовая","Android,iOS"
"7767","Киев",1750,500,"Software Engineer",5,1.5,"PHP","",27,"мужской","Высшее","Другой вуз","False","средний","до 200 человек","Продуктовая","Веб-разработка"
"7768","Днепр",1580,380,"Project manager",0.25,0.25,"","",26,"женский","Высшее","Другой вуз","False","продвинутый","до 1000 человек","Продуктовая","Gamedev"
"7769","Одесса",1700,200,"QA engineer",4,7,"","Manual QA",35,"женский","Высшее","ОНАС","False","выше среднего","до 200 человек","Продуктовая","iOS,Desktop Applications"
"7770","Львов",350,250,"Junior QA engineer",1,0.25,"","General QA",27,"мужской","Два высших","ЛНУ им. Франко","False","средний","до 50 человек","Аутсорсинговая","Android,Веб-разработка"
"7771","Харьков",1000,300,"QA engineer",2,2,"","Manual QA",39,"мужской","Два высших","Другой вуз","False","продвинутый","до 10 человек","Аутсорсинговая","iOS,Веб-разработка"
"7772","Киев",346,0,"HR",2,1,"","",29,"женский","Высшее","НАУ","False","средний","до 200 человек","Продуктовая","Embedded"
"7773","Киев",1700,700,"QA engineer",2,0,"","Manual QA",24,"женский","Высшее","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","Desktop Applications,Корпоративные системы"
"7774","Днепр",2500,300,"Senior QA engineer",4,3,"","General QA",32,"мужской","Два высших","НГУ [Днепропетровск]","False","средний","до 200 человек","Аутсорсинговая","Android,iOS"
"7775","Харьков",200,0,"Project manager",0,0,"","",23,"мужской","Высшее","ХНУРЭ","False","выше среднего","до 1000 человек","Аутстаффинговая","Веб-разработка"
"7776","Киев",3200,0,"Software Engineer",3,1.5,"Scala","",23,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 50 человек","Продуктовая","eCommerce,Корпоративные системы"
"7777","Ужгород",2100,400,"Senior Software Engineer",4,4,"JavaScript","",28,"мужской","Высшее","Львовская Политехника","False","ниже среднего","до 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"7778","Кропивницкий",600,100,"Software Engineer",10,4,"PHP","",30,"мужской","Высшее","ХНУРЭ","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"7779","Киев",1500,1000,"Data Scientist / Data Analyst",1,0,"","",24,"мужской","Два высших","КНУ им. Шевченко","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Другое"
"7780","Львов",700,0,"Designer",5,5,"","",29,"мужской","Незаконченное высшее","Львовская Политехника","False","выше среднего","до 50 человек","Аутстаффинговая","Android,Desktop Applications"
"7781","Харьков",550,100,"HR",1.5,1.5,"","",28,"женский","Высшее","Другой вуз","False","продвинутый","до 10 человек","Продуктовая","Другое"
"7782","Полтава",400,0,"Sysadmin",10,10,"","",35,"мужской","Высшее","КНУ им. Шевченко","False","элементарный","до 10 человек","Другая","Системное программирование,Корпоративные системы"
"7783","Киев",1500,1450,"Software Engineer",1,0.25,"Swift","",21,"мужской","Незаконченное высшее","НТУУ «КПИ»","False","продвинутый","до 10 человек","Продуктовая","iOS"
"7784","Киев",3200,700,"Senior Software Engineer",5,0,"Python","",24,"мужской","Незаконченное высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутстаффинговая","Android,Веб-разработка"
"7785","Удаленно",400,0,"Junior Software Engineer",2,0.5,"JavaScript","",21,"женский","Высшее","ОНПУ","True","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"7786","Киев",4000,0,"Technical Lead",9,3,"C++","",35,"мужской","Высшее","КНУ им. Шевченко","False","продвинутый","до 10 человек","Продуктовая","Embedded,Телекоммуникации"
"7787","Киев",4000,150,"Senior Software Engineer",10,5,"Java","",41,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"7788","Херсон",1200,300,"QA engineer",1.5,1.5,"","Automation QA",25,"женский","Высшее","Другой вуз","False","средний","свыше 1000 человек","Другая","Android,iOS"
"7789","Киев",2650,100,"Senior QA engineer",7,2,"","General QA",32,"женский","Высшее","Другой вуз","False","средний","свыше 1000 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"7790","Харьков",2000,1000,"Designer",3,0.5,"","",26,"мужской","Высшее","НТУ «ХПИ»","False","элементарный","до 10 человек","Аутсорсинговая","Веб-разработка"
"7791","Николаев",1200,300,"Project manager",2,2,"","",24,"мужской","Высшее","ЧГУ им. Петра Могилы","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"7792","Киев",2000,200,"QA engineer",4,4,"","General QA",29,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 50 человек","Продуктовая","Desktop Applications"
