"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"1","Киев",3600,0,"Technical Lead",10,3,"Python","",37,"мужской","Среднее","","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"2","Львов",1700,300,"Software Engineer",3,1,"Python","",29,"мужской","Два высших","ЛНУ им. Франко","False","средний","свыше 1000 человек","Аутсорсинговая","Финансы и банки,Корпоративные системы"
"3","Другой",1600,0,"Software Engineer",3,3,"JavaScript","",26,"мужской","Незаконченное высшее","Другой вуз","True","средний","до 10 человек","Другая","Веб-разработка"
"4","Днепр",350,80,"Sysadmin",1,1,"","",25,"мужской","Высшее","Другой вуз","False","средний","до 10 человек","Продуктовая","Другое"
"5","Киев",1500,500,"Senior QA engineer",6,2,"","Manual QA",29,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Аутстаффинговая","Desktop Applications,Embedded"
"6","Харьков",1300,500,"QA engineer",2,0,"","Manual QA",22,"женский","Высшее","ХНЭУ","False","выше среднего","до 200 человек","Аутстаффинговая","Веб-разработка,Телекоммуникации"
"7","Киев",4000,500,"Senior QA engineer",9,0.5,"","Automation QA",32,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Desktop Applications"
"8","Киев",2000,900,"Software Engineer",2,0,"Swift","",21,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутсорсинговая","iOS,Desktop Applications"
"9","Харьков",2200,1100,"Software Engineer",2,0.25,"JavaScript","",23,"мужской","Два высших","ХНЭУ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Другое"
"10","Киев",2000,0,"QA engineer",6,0.5,"","Automation QA",38,"мужской","Высшее","НТУУ «КПИ»","False","ниже среднего","до 50 человек","Продуктовая","Финансы и банки"
"11","Киев",4000,0,"Senior Software Engineer",10,1,"Java","",36,"мужской","Высшее","ДНУ им. Гончара","False","средний","до 200 человек","Аутсорсинговая","Финансы и банки"
"12","Одесса",3300,800,"Senior Software Engineer",6,0,"JavaScript","",35,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"13","Киев",1700,1000,"Software Engineer",3,1,"C#/.NET","",23,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 50 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"14","Киев",1500,0,"Software Engineer",5,0.5,"PHP","",30,"мужской","Высшее","КНУ им. Шевченко","False","ниже среднего","до 10 человек","Продуктовая","Веб-разработка"
"15","Запорожье",600,100,"Software Engineer",3,2,"Python","",26,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
"16","Киев",700,0,"Designer",0.5,0.5,"","",23,"женский","Незаконченное высшее","Другой вуз","False","выше среднего","свыше 1000 человек","Продуктовая","Веб-разработка,Финансы и банки"
"17","Киев",4750,500,"Senior Software Engineer",10,0,"PHP","",35,"мужской","Высшее","Другой вуз","False","выше среднего","свыше 1000 человек","Аутстаффинговая","eCommerce"
"18","Харьков",6300,300,"Technical Lead",10,1.5,"Golang","",31,"мужской","Два высших","Другой вуз","False","выше среднего","до 10 человек","Продуктовая","Другое"
"19","Днепр",320,0,"Junior Software Engineer",4,1.5,"PHP","",27,"мужской","Высшее","ДНУЖТ","False","элементарный","до 10 человек","Продуктовая","Веб-разработка"
"20","Киев",1600,600,"QA engineer",2,1.5,"","General QA",26,"мужской","Высшее","КНУ им. Шевченко","False","ниже среднего","до 10 человек","Продуктовая","Веб-разработка"
"21","Киев",3000,500,"Software Engineer",3,1,"JavaScript","",28,"мужской","Высшее","ДонНУ им. Васыля Стуса","False","средний","свыше 1000 человек","Аутстаффинговая","Веб-разработка"
"22","Харьков",700,100,"QA engineer",1.5,1.5,"","Manual QA",22,"женский","Высшее","ХНЭУ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"23","Днепр",3000,0,"Senior Software Engineer",8,3,"Ruby/Rails","",29,"мужской","Высшее","НГУ [Днепропетровск]","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка,Телекоммуникации"
"24","Киев",650,300,"Junior QA engineer",0.5,0.5,"","Automation QA",23,"мужской","Высшее","НАУ","False","средний","до 10 человек","Продуктовая","Веб-разработка"
