"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"1","Львов",1300,800,"Software Engineer",1.5,0.25,"Java","",25,"мужской","Высшее","False","выше среднего","до 200 человек","Аутстаффинговая","Android,Desktop Applications"
"2","Киев",700,200,"HR",1.5,0,"","",25,"женский","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Другое"
"3","Днепр.",750,200,"Junior Software Engineer",0.25,0.25,"Java","",23,"мужской","Высшее","False","средний","до 200 человек","Продуктовая","eCommerce"
"4","Киев",2700,60,"Senior Software Engineer",6.5,6.5,"C#/.NET","",28,"мужской","Два высших","False","продвинутый","до 200 человек","Продуктовая","Desktop Applications,Финансы и банки"
"5","Львов",1800,-500,"Project manager",3,1,"","",23,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Android,iOS"
"6","Киев",2800,100,"Senior QA engineer",6,1.5,"","Automation QA",27,"мужской","Высшее","False","средний","до 1000 человек","Аутстаффинговая","Desktop Applications,Веб-разработка"
"7","Львов",3000,1000,"Software Engineer",3,2,"Java","",32,"мужской","Кандидат","False","выше среднего","свыше 1000 человек","Продуктовая","Корпоративные системы"
"8","Киев",4600,0,"Software Engineer",5,0,"Java","",26,"мужской","Незаконченное высшее","False","выше среднего","до 200 человек","Продуктовая","Другое"
"9","Киев",850,0,"Software Engineer",0,0,"PHP","",22,"мужской","Незаконченное высшее","False","средний","до 10 человек","Другая","Телекоммуникации"
"10","Днепр.",1200,600,"Junior Software Engineer",1.5,0,"C#/.NET","",22,"мужской","Высшее","False","выше среднего","до 10 человек","Аутстаффинговая","Веб-разработка"
"11","Киев",700,0,"Junior Software Engineer",0.25,0,"Java","",26,"мужской","Высшее","False","элементарный","до 10 человек","Аутсорсинговая","Android"
"12","Киев",750,0,"QA engineer",1.5,0,"","Manual QA",30,"мужской","Два высших","False","ниже среднего","до 50 человек","Другая","Desktop Applications,Веб-разработка"
