"city","experience","salary","position","specialisation","freq"
"Івано-Франківськ","4-6 років","5000 - 5500","Senior","Manual QA",1
"Івано-Франківськ","4-6 років","5500 - 6000","Senior","Automation QA",1
"Івано-Франківськ","4-6 років","6000 - 6500","Senior","Automation QA",1
"Івано-Франківськ","7-10 років","1000 - 1500","Senior","Manual QA",1
"Івано-Франківськ","7-10 років","1500 - 2000","Senior","Manual QA",1
"Івано-Франківськ","7-10 років","2000 - 2500","Middle","General QA",1
"Івано-Франківськ","7-10 років","2000 - 2500","Middle","Manual QA",2
"Івано-Франківськ","7-10 років","2000 - 2500","Senior","Manual QA",1
"Івано-Франківськ","7-10 років","2500 - 3000","Middle","Manual QA",1
"Івано-Франківськ","7-10 років","2500 - 3000","Senior","Manual QA",2
"Івано-Франківськ","7-10 років","3000 - 3500","Senior","Automation QA",2
"Івано-Франківськ","7-10 років","3000 - 3500","Senior","General QA",1
"Івано-Франківськ","7-10 років","3000 - 3500","Senior","Manual QA",1
"Івано-Франківськ","7-10 років","3000 - 3500","Team Lead","General QA",1
"Івано-Франківськ","7-10 років","3500 - 4000","Senior","General QA",1
"Івано-Франківськ","7-10 років","3500 - 4000","Team Lead","General QA",2
"Івано-Франківськ","7-10 років","4000 - 4500","Senior","Automation QA",1
"Івано-Франківськ","7-10 років","500 - 1000","Junior","Automation QA",1
"Івано-Франківськ","7-10 років","5000 - 5500","Head","Automation QA",1
"Івано-Франківськ","7-10 років","5000 - 5500","Senior","General QA",1
"Івано-Франківськ","7-10 років","5000 - 5500","Team Lead","Automation QA",1
"Івано-Франківськ","7-10 років","5500 - 6000","Head","Automation QA",1
"Івано-Франківськ","7-10 років","6000 - 6500","Senior","Automation QA",1
"Івано-Франківськ","7-10 років","6000 - 6500","Tech Lead","Automation QA",1
"Івано-Франківськ","7-10 років","6500 +","Manager","Automation QA",1
"Івано-Франківськ","7-10 років","6500 +","Senior","Automation QA",1
"Івано-Франківськ","До року","0 - 500","Intern/Trainee","Manual QA",2
"Івано-Франківськ","До року","0 - 500","Junior","Manual QA",3
"Івано-Франківськ","До року","500 - 1000","Intern/Trainee","Manual QA",1
"Івано-Франківськ","До року","500 - 1000","Junior","Manual QA",5
"Інше","1-3 роки","0 - 500","Junior","Manual QA",8
"Інше","1-3 роки","0 - 500","Middle","Manual QA",2
