"Город","salary","Должность","exp","Язык.программирования"
"799","Тернополь",1200,"Software Engineer",2,"PHP"
"800","Киев",3500,"Project manager",6,""
"801","Киев",1000,"Дизайнер",3,""
"802","Львов",2000,"Project manager",4.5,""
"803","Киев",3000,"Software Engineer",5.5,"C++"
"804","Одесса",1500,"Software Engineer",2,"Java"
"805","Харьков",2500,"Senior Software Engineer",4.5,"C#/.NET"
"806","Львов",1500,"Software Engineer",3,"C#/.NET"
"807","Киев",4000,"Senior Software Engineer",10,"C++"
"808","Киев",1900,"Project manager",1,""
"809","Львов",3000,"Project manager",3,""
"810","Харьков",1800,"Системный администратор",3,""
"811","Киев",2500,"QA engineer",1.5,""
"812","Львов",900,"Software Engineer",1.5,"C#/.NET"
"813","Днепр.",1000,"Junior Software Engineer",0.5,"Java"
"814","Киев",2200,"Senior Software Engineer",5.5,"C++"
"815","Харьков",400,"Junior Software Engineer",0.5,"Java"
"816","Одесса",1000,"Junior Software Engineer",0,"Java"
"817","Чернигов",3500,"Senior Software Engineer",5,"C"
"818","Харьков",2400,"Senior Software Engineer",7,"C#/.NET"
"819","Днепр.",562.5,"Project manager",0.5,""
"820","Киев",700,"Верстальщик",1.75,""
"821","Харьков",3000,"Director of Engineering / Program Director",10,""
"822","Киев",1750,"Software Engineer",3,"PHP"
"823","Днепр.",2500,"Senior Software Engineer",3,"Python"
"824","Харьков",2000,"Project manager",0.5,""
"825","Харьков",900,"QA engineer",2,""
"826","Севастополь",1500,"Software Engineer",3,"PHP"
"827","Днепр.",2000,"Senior Software Engineer",10,"Java"
"828","Львов",1000,"Software Engineer",1.5,"C#/.NET"
"829","Харьков",1700,"Software Engineer",2,"JavaScript"
"830","Львов",1600,"Software Engineer",2,"Flex/Flash/AIR"
"831","Винница",1500,"Senior Software Engineer",4,"C#/.NET"
"832","Днепр.",500,"Junior Software Engineer",0.75,"PHP"
"833","Киев",625,"Junior Software Engineer",0.75,"C#/.NET"
"834","Киев",2000,"Senior Software Engineer",7,"Flex/Flash/AIR"
"835","Киев",1800,"Software Engineer",4,"Python"
"836","Киев",2750,"Software Engineer",2,"Python"
"837","Киев",3000,"Senior Software Engineer",3.5,"Java"
"838","Донецк",600,"Junior Software Engineer",3,"C#/.NET"
"839","Львов",2000,"Software Engineer",3,"C#/.NET"
"840","Харьков",720,"Junior Software Engineer",2,"Flex/Flash/AIR"
"841","Днепр.",2000,"Project manager",2.5,""
"842","Львов",2200,"Technical Lead",8,"PHP"
"843","Львов",2400,"Senior Software Engineer",5.5,"C++"
"844","Киев",1000,"Дизайнер",5,""
"845","Киев",3500,"Senior Software Engineer",9.5,"C#/.NET"
"846","Киев",1900,"Software Engineer",4.5,"C"
"847","Одесса",2000,"Senior Software Engineer",5,"Python"
"848","Харьков",2300,"Senior Software Engineer",7,"C"
"849","Киев",2200,"Technical Lead",3.5,"C++"
"850","Львов",1800,"Software Engineer",3.5,"Python"
"851","Ужгород",350,"Junior Software Engineer",0,"JavaScript"
"852","Львов",500,"Системный администратор",4,""
"853","Харьков",1500,"Software Engineer",0.75,"Java"
"854","Харьков",750,"Software Engineer",1.5,"PHP"
"855","Винница",650,"QA engineer",4.5,""
"856","Днепр.",3000,"Software Engineer",6,"C#/.NET"
"857","Львов",2200,"Senior QA engineer",4.5,""
"858","Киев",600,"Junior Software Engineer",0.5,"C#/.NET"
"859","Львов",2200,"Software Engineer",6,"Python"
"860","Киев",1300,"Software Engineer",2.5,"Java"
"861","Киев",1600,"Technical Lead",5,"C++"
"862","Львов",400,"Junior Software Engineer",0.5,"Java"
"863","Одесса",2800,"Technical Lead",6.5,"C#/.NET"
"864","Киев",2000,"Senior QA engineer",5.5,""
"865","Харьков",1750,"Senior Software Engineer",4,"C#/.NET"
"866","Киев",3000,"Senior Software Engineer",8,"Java"
"867","Днепр.",1500,"Junior Software Engineer",0.75,"PHP"
"868","Киев",750,"Software Engineer",1.5,"PHP"
"869","Киев",3600,"Technical Lead",10,"Java"
"870","Киев",2700,"Technical Lead",4,"PHP"
"871","Киев",500,"Junior Software Engineer",1.25,"C#/.NET"
"872","Днепр.",3050,"Team lead",5,""
"873","Львов",1500,"Software Engineer",5,"Flex/Flash/AIR"
"874","Киев",800,"Junior Software Engineer",1.25,"Java"
"875","Киев",2200,"Senior Software Engineer",5,"C++"
"876","Киев",3000,"Technical Lead",7,"C++"
"877","Киев",450,"Software Engineer",1.25,"PHP"
"878","Львов",2600,"Senior Software Engineer",7,"C++"
"879","Винница",3000,"Senior Software Engineer",6.5,"C#/.NET"
"880","Киев",2350,"Senior Software Engineer",7.5,"Java"
"881","Днепр.",3200,"Technical Lead",8,"C#/.NET"
"882","Львов",2200,"Senior Software Engineer",7,"Java"
"883","Киев",2300,"Software Engineer",4.5,"Java"
"884","Киев",1800,"Software Engineer",3.5,"Java"
"885","Киев",2400,"Senior QA engineer",5.5,""
"886","Донецк",900,"Senior Software Engineer",3,"PHP"
"887","Киев",1200,"Software Engineer",3,"PHP"
"888","Киев",4300,"Senior Project Manager / Program Manager",10,""
"889","Киев",1000,"Software Engineer",4.5,"C#/.NET"
"890","Николаев",800,"QA engineer",2,""
"891","Киев",3000,"Senior Software Engineer",10,"JavaScript"
"892","Киев",3000,"Senior Software Engineer",6,"C++"
"893","Львов",700,"QA engineer",3,""
"894","Днепр.",666.625,"Junior Software Engineer",0.5,"C#/.NET"
"895","Одесса",1000,"Software Engineer",1,"C#/.NET"
"896","Львов",1400,"Системный администратор",8,""
"897","Одесса",650,"Junior Software Engineer",0.5,"JavaScript"
"898","Киев",2200,"Senior Software Engineer",4.5,"Java"
"899","Харьков",600,"QA engineer",1.75,""
"900","Харьков",437.5,"Junior Software Engineer",0,"Java"
"901","Киев",2700,"Senior Software Engineer",6,"Java"
"902","Львов",2900,"Technical Lead",7,"Java"
"903","Киев",2400,"Software Engineer",5,"PHP"
"904","Киев",2500,"Senior Software Engineer",6,"C++"
"905","Киев",2700,"Дизайнер",4,""
"906","Львов",1600,"Software Engineer",3,"Java"
"907","Киев",1750,"Software Engineer",4,"PHP"
"908","Киев",3000,"Software Engineer",10,"Java"
"909","Харьков",900,"Software Engineer",3,"C#/.NET"
"910","Киев",2300,"Software Engineer",8.5,"C#/.NET"
"911","Тернополь",500,"Software Engineer",3,"PHP"
"912","Харьков",400,"Junior Software Engineer",0.5,"Objective-C"
"913","Львов",1500,"Software Engineer",4,"Java"
"914","Киев",3000,"Project manager",2,""
"915","Киев",2000,"Senior Software Engineer",8,"Python"
"916","Киев",1650,"Software Engineer",3,"C#/.NET"
"917","Днепр.",2700,"Technical Lead",7,"C++"
"918","Харьков",800,"Software Engineer",3,"C++"
"919","Киев",2000,"Software Engineer",3,"JavaScript"
"920","Киев",4800,"Senior Project Manager / Program Manager",9,""
"921","Львов",1500,"Senior QA engineer",4,""
"922","Одесса",2000,"Technical Lead",5.5,"Java"
"923","Киев",1900,"QA engineer",2.5,""
"924","Днепр.",2300,"Senior Software Engineer",8,"C#/.NET"
"925","Днепр.",850,"Бизнес-аналитик",1,""
"926","Львов",1250,"Software Engineer",3,"C#/.NET"
"927","Харьков",700,"Junior Software Engineer",1,"C#/.NET"
"928","Киев",2700,"Team lead",0.5,""
"929","Киев",2800,"Senior Software Engineer",9,"C#/.NET"
"930","Киев",1200,"Software Engineer",2,"C#/.NET"
"931","Киев",700,"Верстальщик",0.5,""
"932","Киев",2300,"Software Engineer",4,"Python"
"933","Львов",2000,"Senior Software Engineer",5,"JavaScript"
"934","Днепр.",1300,"Системный администратор",3,""
"935","Винница",1900,"Technical Lead",7,"Java"
"936","Ивано-Франковск",550,"Junior Software Engineer",1.5,"PHP"
"937","Ужгород",2000,"Software Engineer",3,"Scala"
"938","Киев",1600,"Software Engineer",3,"C#/.NET"
"939","Киев",2300,"Senior QA engineer",3.5,""
"940","Харьков",1200,"Системный администратор",10,""
"941","Киев",3000,"Team lead",8,""
"942","Львов",4500,"Senior Project Manager / Program Manager",8,""
"943","Киев",2000,"Software Engineer",3.5,"C#/.NET"
"944","Львов",800,"Дизайнер",4,""
"945","Киев",7000,"System Architect",10,"Python"
"946","Киев",1200,"Системный администратор",2,""
"947","Симферополь",2300,"Team lead",9.5,""
"948","Полтава",312.5,"Junior Software Engineer",0,"Java"
"949","Киев",2000,"Верстальщик",2,""
"950","Киев",2400,"Software Engineer",10,"C++"
"951","Киев",1600,"Software Engineer",3,"C#/.NET"
"952","Харьков",5500,"Senior Software Engineer",3,"PHP"
"953","Днепр.",1700,"Technical Lead",6,"C#/.NET"
"954","Харьков",1800,"Software Engineer",5.5,"C#/.NET"
"955","Харьков",800,"Software Engineer",1,"PHP"
"956","Днепр.",1500,"Software Engineer",2.5,"Java"
"957","Киев",700,"Junior QA engineer",0.75,""
"958","Киев",2000,"Senior Software Engineer",2,"Python"
"959","Киев",2000,"Software Engineer",1,"Java"
"960","Киев",2000,"QA Tech Lead",9,""
"961","Харьков",700,"Software Engineer",2,"PHP"
"962","Николаев",1000,"Senior Software Engineer",10,"Delphi"
"963","Киев",3000,"Technical Lead",4,"Java"
"964","Луганск",600,"Junior Software Engineer",2,"Java"
"965","Днепр.",2500,"Software Engineer",1.25,"Java"
"966","Киев",2300,"Technical Lead",3.5,"C#/.NET"
"968","Львов",400,"Junior Software Engineer",0.5,"Java"
"969","Харьков",1100,"Software Engineer",4,"PHP"
"970","Днепр.",3000,"Senior Software Engineer",8,"C#/.NET"
"971","Киев",2000,"Junior Software Engineer",1.5,"Java"
"972","Львов",3000,"Director of Engineering / Program Director",10,""
"973","Киев",1000,"Software Engineer",3,"C#/.NET"
"974","Севастополь",1500,"Software Engineer",3.5,"C#/.NET"
"975","Киев",5000,"Director of Engineering / Program Director",5,""
"976","Киев",875,"Software Engineer",4,"Objective-C"
"977","Киев",700,"Project manager",1.75,""
"978","Днепр.",1800,"Software Engineer",1.5,"Ruby/Rails"
"979","Киев",1300,"Software Engineer",5.5,"C"
"980","Киев",875,"Team lead",0,""
"981","Харьков",1700,"Software Engineer",3,"C#/.NET"
"982","Харьков",625,"Software Engineer",5,"PHP"
"983","Ровно",290,"Системный администратор",0.25,""
"984","Донецк",1500,"Software Engineer",2.5,"C#/.NET"
"985","Харьков",1700,"Senior Software Engineer",4,"Ruby/Rails"
"986","Львов",1300,"Software Engineer",1.5,"Objective-C"
"987","Киев",1250,"Team lead",4,""
"988","Винница",350,"Team lead",10,""
"989","Киев",1800,"Team lead",10,""
"990","Харьков",2500,"Senior Software Engineer",1.5,"Objective-C"
"991","Киев",1250,"Senior Project Manager / Program Manager",3,""
"992","Киев",562.5,"Software Engineer",1,"PHP"
"993","Харьков",625,"Director of Engineering / Program Director",1,""
"994","Харьков",425,"Software Engineer",5,"PHP"
"995","Киев",2750,"Team lead",5,""
"996","Днепр.",2200,"Senior Software Engineer",6,"C#/.NET"
"997","Киев",1500,"Software Engineer",1,"C#/.NET"
"998","Житомир",1900,"Software Engineer",6,"C#/.NET"
"999","Львов",1100,"Software Engineer",4,"PHP"
"1000","Львов",900,"QA engineer",1.75,""
"1001","Кировоград",400,"Junior Software Engineer",1.25,"PHP"
"1002","Киев",2700,"Senior Software Engineer",3,"Flex/Flash/AIR"
"1003","Киев",2850,"Project manager",5,""
"1004","Львов",2300,"QA Tech Lead",5.5,""
"1005","Запорожье",2000,"Senior Software Engineer",3,"PHP"
"1006","Киев",2312.5,"Software Engineer",6,"C#/.NET"
"1007","Киев",2900,"Senior Software Engineer",9.5,"Java"
"1008","Одесса",2000,"Senior Software Engineer",2.5,"Java"
"1009","Харьков",700,"Junior Software Engineer",0.75,"C#/.NET"
"1010","Киев",1000,"Software Engineer",4,"C++"
"1011","Запорожье",1200,"Software Engineer",10,"PHP"
"1012","Киев",1200,"Software Engineer",2.5,"Java"
"1013","Запорожье",1000,"Senior Software Engineer",4,"PHP"
"1014","Киев",1300,"QA engineer",4,""
"1015","Винница",546,"Junior Software Engineer",2,"SQL"
"1016","Винница",750,"QA engineer",3,""
"1017","Киев",1250,"Системный администратор",5,""
"1018","Киев",1000,"Senior Software Engineer",1.5,"Java"
"1019","Киев",1700,"Technical Lead",4.5,"PHP"
"1020","Киев",2100,"QA engineer",5,""
"1021","Киев",750,"Junior Software Engineer",0.5,"PHP"
"1022","Тернополь",350,"Software Engineer",1.5,"SQL"
"1023","Киев",2600,"QA Tech Lead",3,""
"1024","Киев",1800,"Junior Software Engineer",1.25,"Java"
"1025","Киев",3800,"Director of Engineering / Program Director",8.5,""
"1026","Запорожье",1000,"Бизнес-аналитик",3,""
"1027","Киев",1800,"Software Engineer",3.5,"C#/.NET"
"1028","Винница",400,"Junior Software Engineer",10,"SQL"
"1029","Львов",2850,"Senior Software Engineer",6.5,"C++"
"1030","Днепр.",1500,"Software Engineer",1,"Java"
"1031","Львов",3850,"Senior Software Engineer",10,"C#/.NET"
"1032","Киев",3000,"DBA / Администратор баз данных",10,""
"1033","Киев",2200,"Software Engineer",4,"Perl"
"1034","Киев",1000,"Junior Software Engineer",0.75,"C++"
"1035","Киев",1400,"QA engineer",2,""
"1036","Киев",812.5,"Software Engineer",2.5,"C++"
"1037","Киев",3000,"Team lead",8,""
"1038","Харьков",900,"Junior QA engineer",0.5,""
"1039","Киев",812.5,"Junior QA engineer",1,""
"1040","Харьков",2700,"Senior Software Engineer",4,"Java"
"1041","Харьков",1250,"QA engineer",5,""
"1042","Киев",2900,"Senior Software Engineer",4.5,"C++"
"1043","Киев",1500,"Software Engineer",5,"C#/.NET"
"1044","Днепр.",1200,"Senior QA engineer",2,""
"1045","Донецк",700,"Software Engineer",3,"PHP"
"1046","Днепр.",1000,"Software Engineer",1,"Java"
"1047","Днепр.",1200,"Software Engineer",1.5,"Java"
"1048","Львов",2200,"Technical Lead",6,"Java"
"1049","Киев",1200,"Software Engineer",2.5,"C#/.NET"
"1050","Харьков",500,"Junior Software Engineer",0.5,"C#/.NET"
"1051","Киев",2500,"Senior Software Engineer",10,"Java"
"1052","Киев",400,"Бизнес-аналитик",0.75,""
"1053","Днепр.",1500,"Системный администратор",5,""
"1054","Киев",3000,"Senior Software Engineer",8,"SQL"
"1055","Донецк",1031.25,"Software Engineer",3.5,"SQL"
"1056","Киев",400,"Junior QA engineer",0.25,""
"1057","Днепр.",600,"Junior Software Engineer",0.25,"Java"
"1058","Житомир",1875,"Technical Lead",7,"C#/.NET"
"1059","Киев",2200,"Software Engineer",3,"C#/.NET"
"1060","Киев",3000,"Technical Lead",5,"C#/.NET"
"1061","Киев",875,"Системный администратор",4.5,""
"1062","Днепр.",800,"QA engineer",1,""
"1063","Киев",1000,"Software Engineer",6,"PHP"
"1064","Днепр.",2000,"Senior Software Engineer",5,"Python"
"1065","Харьков",800,"Software Engineer",0.75,"PHP"
"1066","Харьков",1400,"Software Engineer",5,"C"
"1067","Киев",1625,"Software Engineer",2.5,"PHP"
"1068","Симферополь",3650,"Technical Lead",10,"C#/.NET"
"1069","Севастополь",2500,"Software Engineer",5,"APL"
"1070","Львов",700,"Technical Lead",7.5,"SQL"
"1071","Киев",2500,"Software Engineer",8,"C#/.NET"
"1072","Днепр.",2800,"Senior Software Engineer",4,"C#/.NET"
"1073","Киев",2500,"Senior Software Engineer",3,"C#/.NET"
"1074","Киев",1600,"Senior Software Engineer",6,"Ruby/Rails"
"1075","Львов",1300,"Software Engineer",1.25,"C#/.NET"
"1076","Киев",1700,"Бизнес-аналитик",5,""
"1077","Киев",1900,"Senior QA engineer",4,""
"1078","Львов",1300,"Software Engineer",2,"C#/.NET"
"1079","Киев",3000,"Technical Lead",9,"C++"
"1080","Львов",2500,"Team lead",6,""
"1081","Винница",2000,"Senior Software Engineer",6,"SQL"
"1082","Одесса",1200,"Junior Software Engineer",2,"C#/.NET"
"1083","Львов",1700,"Software Engineer",2.5,"C#/.NET"
"1084","Киев",1500,"Бизнес-аналитик",1,""
"1085","Киев",562.5,"Системный администратор",1,""
"1086","Киев",1100,"Software Engineer",2.5,"C#/.NET"
"1087","Киев",3100,"Team lead",2,""
"1088","Харьков",1000,"Software Engineer",5,"Python"
"1089","Киев",1250,"Senior Software Engineer",6,"C#/.NET"
"1090","Одесса",1600,"Team lead",7,""
"1091","Киев",1200,"Software Engineer",0.5,"Java"
"1092","Киев",1500,"Technical Lead",4,"PHP"
"1093","Киев",312.5,"Системный администратор",3.5,""
"1094","Киев",1050,"QA engineer",1.25,""
"1095","Киев",2000,"Software Engineer",3,"C#/.NET"
"1096","Киев",1400,"QA engineer",5.5,""
"1097","Киев",800,"Верстальщик",2,""
"1098","Харьков",600,"Junior Software Engineer",0.75,"Java"
"1099","Киев",1500,"Software Engineer",8,"C"
"1100","Киев",3500,"Technical Lead",7,"Java"
"1101","Львов",2800,"Team lead",7,""
"1102","Киев",1700,"Бизнес-аналитик",2,""
"1103","Львов",700,"Software Engineer",1.5,"C++"
"1104","Донецк",1750,"Software Engineer",3,"Java"
"1105","Киев",2600,"Software Engineer",4,"C#/.NET"
"1106","Киев",1000,"Junior Software Engineer",0.5,"C++"
"1107","Киев",500,"Junior QA engineer",0,""
"1108","Днепр.",1500,"Системный администратор",8,""
"1109","Киев",2500,"Software Engineer",4,"Flex/Flash/AIR"
"1110","Киев",3200,"Senior Software Engineer",6,"Java"
"1111","Львов",2400,"Senior Software Engineer",8,"C#/.NET"
"1112","Симферополь",800,"Software Engineer",2.5,"C#/.NET"
"1113","Киев",2300,"Senior QA engineer",5,""
"1114","Львов",2400,"Senior Software Engineer",7.5,"Java"
"1115","Киев",3500,"Director of Engineering / Program Director",10,""
"1116","Киев",2250,"System Architect",10,"PHP"
"1117","Днепр.",500,"Junior Software Engineer",0,"C#/.NET"
"1118","Киев",2300,"Project manager",3,""
"1119","Харьков",3000,"Director of Engineering / Program Director",9,""
"1120","Львов",1800,"Software Engineer",3,"Java"
"1121","Харьков",500,"Junior Software Engineer",0.5,"C#/.NET"
"1122","Донецк",2000,"Senior Software Engineer",5,"C#/.NET"
"1123","Киев",2666,"Senior Software Engineer",6,"Java"
"1124","Киев",375,"Junior QA engineer",0.5,""
"1125","Киев",1600,"QA engineer",4.5,""
"1126","Киев",2300,"Technical Lead",6.5,"C"
"1127","Харьков",1500,"Software Engineer",5,"C++"
"1128","Киев",2600,"Senior QA engineer",5,""
"1129","Луганск",562.5,"Junior Software Engineer",4,"Delphi"
"1130","Львов",2900,"Senior Software Engineer",8,"C++"
"1131","Винница",1300,"Senior QA engineer",4,""
"1132","Донецк",600,"Junior Software Engineer",0,"C#/.NET"
"1133","Днепр.",850,"Junior QA engineer",0,""
"1134","Киев",400,"Junior QA engineer",1,""
"1135","Киев",4000,"Senior Project Manager / Program Manager",10,""
"1136","Киев",2500,"Senior Software Engineer",8,"C++"
"1137","Харьков",600,"Junior Software Engineer",1.5,"Flex/Flash/AIR"
"1138","Днепр.",1420,"QA engineer",2,""
"1139","Киев",1000,"Software Engineer",3,"Java"
"1140","Харьков",2800,"Team lead",3,""
"1141","Симферополь",300,"Junior Software Engineer",0,"C#/.NET"
"1142","Харьков",2200,"Project manager",3,""
"1143","Кировоград",3200,"Software Engineer",8,"C++"
"1144","Киев",2100,"QA engineer",5.5,""
"1145","Львов",2850,"Technical Lead",5.5,"Java"
"1146","Харьков",1600,"Senior Software Engineer",6,"Java"
"1147","Хмельницкий",1500,"Junior Software Engineer",0,"PHP"
"1148","Ивано-Франковск",1400,"Software Engineer",3.5,"C#/.NET"
"1149","Одесса",1400,"Software Engineer",5,"C#/.NET"
"1150","Львов",3300,"Technical Lead",9,"C++"
"1151","Тернополь",375,"Software Engineer",3,"PHP"
"1152","Киев",1000,"Senior QA engineer",2,""
"1153","Харьков",1000,"Software Engineer",0.5,"JavaScript"
"1154","Харьков",1000,"Software Engineer",0.5,"Java"
"1155","Харьков",1000,"Software Engineer",0.5,"C#/.NET"
"1156","Донецк",1800,"Technical Lead",7,"Python"
"1157","Симферополь",600,"QA engineer",1,""
"1158","Днепр.",3300,"Senior Project Manager / Program Manager",8,""
"1159","Киев",2600,"Senior Software Engineer",5.5,"SQL"
"1160","Хмельницкий",1125,"Software Engineer",2,"Java"
"1161","Хмельницкий",1100,"Software Engineer",2,"Java"
"1162","Киев",1200,"QA engineer",1.25,""
"1163","Одесса",3000,"Senior Software Engineer",7,"Java"
"1164","Львов",500,"Junior Software Engineer",1.25,"C#/.NET"
"1165","Одесса",700,"Software Engineer",2.5,"PHP"
"1166","Львов",600,"Junior QA engineer",0,""
"1167","Киев",2250,"Software Engineer",6,"C#/.NET"
"1168","Киев",3500,"Project manager",2,""
"1169","Львов",2600,"Senior Software Engineer",5,"Java"
"1170","Киев",918.75,"Technical Lead",2.5,"SQL"
"1171","Киев",3800,"Team lead",6.5,""
"1172","Киев",2000,"Software Engineer",3.5,"C#/.NET"
"1173","Харьков",1600,"Senior QA engineer",6,""
"1174","Киев",3000,"Senior Software Engineer",10,"Java"
"1175","Львов",350,"Junior Software Engineer",0.5,"Java"
"1176","Полтава",500,"Software Engineer",10,"SQL"
"1177","Одесса",1900,"Technical Lead",6,"C++"
"1178","Киев",2500,"Software Engineer",1,"Flex/Flash/AIR"
"1179","Киев",1300,"Junior Software Engineer",0,"Python"
"1180","Винница",1800,"Senior QA engineer",4,""
"1181","Киев",2000,"Software Engineer",4,"JavaScript"
"1182","Львов",4500,"Senior Software Engineer",7,"Delphi"
"1183","Киев",2900,"Senior Software Engineer",5,"Java"
"1184","Одесса",1500,"Senior Software Engineer",4,"PHP"
"1185","Винница",2000,"Senior Software Engineer",6,"C#/.NET"
"1186","Львов",1300,"Software Engineer",5,"C#/.NET"
"1187","Киев",2400,"Senior Software Engineer",5,"Java"
"1188","Винница",4000,"Software Engineer",4,"C#/.NET"
"1189","Харьков",1700,"Software Engineer",2,"Java"
"1190","Киев",1500,"Software Engineer",2.5,"Java"
"1191","Киев",3500,"Team lead",9,""
"1192","Киев",700,"Junior Software Engineer",0,"Java"
"1193","Луганск",1000,"Project manager",3,""
"1194","Киев",1250,"Software Engineer",3,"SQL"
"1195","Харьков",700,"Software Engineer",1.25,"Java"
"1196","Киев",1300,"Junior Software Engineer",1,"Flex/Flash/AIR"
"1197","Львов",2500,"Senior Software Engineer",5,"C#/.NET"
"1198","Львов",1770,"Software Engineer",4,"Java"
"1199","Луганск",1100,"Дизайнер",3.5,""
"1200","Днепр.",2000,"Team lead",4,""
"1201","Киев",900,"Junior Software Engineer",1.25,"C#/.NET"
"1202","Луганск",1200,"Team lead",5.5,""
"1203","Луганск",550,"QA engineer",3.5,""
"1204","Луганск",300,"Junior QA engineer",0,""
"1205","Луганск",500,"Junior QA engineer",2,""
"1206","Луганск",300,"Технический писатель",2,""
"1207","Луганск",1100,"Системный администратор",4,""
"1208","Луганск",1300,"Senior Software Engineer",5.5,"Java"
"1209","Луганск",800,"QA Tech Lead",3.5,""
"1210","Луганск",1400,"Team lead",6,""
"1211","Луганск",300,"Дизайнер",1,""
"1212","Луганск",900,"Software Engineer",3,"Java"
"1213","Луганск",2200,"System Architect",10,"Java"
"1214","Луганск",300,"Junior QA engineer",2,""
"1215","Луганск",650,"Системный администратор",10,""
"1216","Луганск",700,"Team lead",3,""
"1217","Киев",1550,"QA engineer",5,""
"1218","Луганск",600,"Дизайнер",3,""
"1219","Луганск",750,"Системный администратор",4.5,""
"1220","Луганск",550,"QA engineer",3,""
"1221","Луганск",700,"Software Engineer",4,"PHP"
"1222","Одесса",1500,"Системный администратор",8,""
"1223","Ужгород",2400,"Software Engineer",3,"Python"
"1224","Киев",3000,"System Architect",10,"C"
"1225","Луганск",300,"QA engineer",0.25,""
"1226","Киев",700,"Software Engineer",1.5,"Java"
"1227","Луганск",600,"Junior Software Engineer",1,"Java"
"1228","Днепр.",1800,"Project manager",6,""
"1229","Львов",2200,"Software Engineer",4,"PHP"
"1231","Киев",2900,"Senior Software Engineer",5,"C++"
"1232","Киев",1100,"QA engineer",2.5,""
"1233","Запорожье",625,"Бизнес-аналитик",2.5,""
"1234","Луганск",500,"Software Engineer",1,"Flex/Flash/AIR"
"1235","Днепр.",1000,"QA Tech Lead",1,""
"1236","Киев",2300,"Senior Software Engineer",3,"PHP"
"1237","Киев",1600,"Software Engineer",1.5,"Java"
"1238","Киев",3500,"Team lead",5,""
"1239","Днепр.",312.5,"Junior QA engineer",1,""
"1240","Днепр.",950,"QA engineer",1.5,""
"1241","Днепр.",475,"Junior Software Engineer",1.25,"Java"
"1242","Одесса",1300,"Software Engineer",3,"Java"
"1243","Киев",750,"Системный администратор",5,""
"1244","Киев",5000,"Software Engineer",4,"PHP"
"1245","Винница",650,"Software Engineer",2,"C#/.NET"
"1246","Днепр.",1800,"Senior QA engineer",4,""
"1247","Киев",1400,"QA engineer",1.75,""
"1248","Симферополь",2500,"Technical Lead",8,"Java"
"1249","Киев",1800,"Senior Software Engineer",5,"JavaScript"
"1250","Киев",800,"Junior Software Engineer",0.5,"Java"
"1251","Киев",2000,"Project manager",1.25,""
"1252","Харьков",2700,"Technical Lead",10,"C#/.NET"
"1253","Львов",2700,"Senior Software Engineer",9,"C++"
"1254","Львов",1100,"Junior QA engineer",1,""
"1255","Киев",675,"Senior Software Engineer",7,"Java"
"1256","Киев",1500,"Senior Software Engineer",2,"C#/.NET"
"1257","Харьков",440,"Junior Software Engineer",1,"Java"
"1258","Киев",2700,"Senior QA engineer",8,""
"1259","Киев",1800,"Software Engineer",3,"Java"
"1260","Черновцы",1250,"Senior Software Engineer",5,"Java"
"1261","Киев",1000,"Software Engineer",6,"PHP"
"1262","Киев",500,"Системный администратор",3,""
"1264","Киев",3100,"Technical Lead",8.5,"PHP"
"1265","Львов",1200,"QA engineer",3,""
"1266","Киев",2000,"Senior Software Engineer",3,"Objective-C"
"1267","Киев",2800,"Senior Software Engineer",3,"Flex/Flash/AIR"
"1268","Киев",1512.5,"Software Engineer",6,"C++"
"1269","Киев",1700,"Junior Software Engineer",0.5,"Java"
"1270","Львов",2500,"Senior Software Engineer",4.5,"C#/.NET"
"1271","Киев",2700,"Senior Software Engineer",4,"Flex/Flash/AIR"
"1272","Львов",1600,"Software Engineer",6,"Python"
"1273","Киев",1600,"QA engineer",4,""
"1274","Донецк",500,"Senior Software Engineer",4.5,"C#/.NET"
"1275","Харьков",2500,"Senior Software Engineer",5,"C#/.NET"
"1277","Киев",2200,"Senior Software Engineer",3.5,"SQL"
"1278","Харьков",1000,"QA engineer",3.5,""
"1279","Киев",3000,"Senior Project Manager / Program Manager",9,""
"1280","Киев",3500,"System Architect",10,"Java"
"1281","Ивано-Франковск",990,"Software Engineer",1.25,"Java"
"1282","Киев",1300,"Бизнес-аналитик",4,""
"1283","Киев",3100,"Technical Lead",8,"C#/.NET"
"1284","Харьков",2100,"Senior Software Engineer",7.5,"C#/.NET"
"1285","Одесса",250,"Project manager",1,""
"1286","Киев",2800,"Senior Software Engineer",7,"C++"
"1287","Запорожье",800,"Software Engineer",7,"Java"
"1288","Львов",1500,"Technical Lead",6,"C#/.NET"
"1289","Киев",2500,"Software Engineer",4.5,"C++"
"1290","Киев",4400,"Technical Lead",8,"Java"
"1291","Харьков",1500,"Software Engineer",5,"C#/.NET"
"1292","Киев",700,"Junior Software Engineer",0,"C++"
"1293","Хмельницкий",400,"Senior Software Engineer",3,"PHP"
"1294","Киев",3000,"System Architect",4,"SQL"
"1295","Киев",3200,"Senior Software Engineer",4,"C"
"1297","Винница",522,"QA engineer",3.5,""
"1298","Киев",2200,"System Architect",3,"C#/.NET"
"1299","Киев",3500,"Senior Software Engineer",3.5,"Java"
"1300","Харьков",1750,"Senior Software Engineer",4,"C#/.NET"
"1301","Симферополь",400,"Junior Software Engineer",0.75,"Java"
"1302","Донецк",850,"Software Engineer",1.75,"C#/.NET"
