"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
1,"Львов",12000,2000,"System Architect","10.0","3.0","C#/.NET",,28,"мужской","Техникум / Колледж","Другой вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
2,"Киев",12000,0,"Designer","3.0","0.25",,,29,"женский","Высшее","КНУТД","False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
3,"Одесса",12000,0,"Designer","5.0","2.0",,,30,"женский","Высшее",,"False","элементарный","до 1000 человек","Продуктовая","Другое"
4,"Удаленно",12000,2000,"Senior Project Manager / Program Manager","7.0","7.0",,,30,"мужской","Высшее","Другой вуз","False","продвинутый","до 10 человек","Продуктовая","iOS,Веб-разработка,eCommerce"
5,"Черкассы",12000,0,"Software Engineer","3.0","2.0","JavaScript",,31,"женский","Два высших","Другой вуз","False","продвинутый","до 10 человек","Другая","Веб-разработка"
6,"Удаленно",11400,1000,"DevOps","9.0","3.0",,,28,"женский","Высшее","НТУ «ХПИ»","False","продвинутый","до 10 человек","Другая","Другое"
7,"Львов",11200,1200,"System Architect","10.0","1.0","C#/.NET",,30,"мужской","Высшее","ЛНУ им. Франко","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Системное программирование,Финансы и банки"
8,"Удаленно",11000,5000,"Senior Software Engineer","8.0","0.25","Java",,30,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 10 человек","Продуктовая","Веб-разработка,Другое"
9,"Львов",10800,2800,"System Architect","6.0","4.0","C#/.NET",,27,"мужской","Незаконченное высшее","Львовская Политехника","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Телекоммуникации"
10,"Днепр",10000,2000,"Designer","3.0","2.0",,,26,"женский","Высшее","ДНУ им. Гончара","False","средний","до 50 человек","Продуктовая","Другое"
11,"Полтава",10000,0,"Marketing","5.0","0.5",,,26,"мужской","Высшее","ЛНУ им. Франко","False","элементарный","до 1000 человек","Продуктовая","eCommerce"
12,"Днепр",10000,0,"Product Manager","5.0","3.0",,,30,"мужской","Высшее",,"False","продвинутый","до 200 человек","Другая","Другое"
13,"Киев",10000,2000,"System Architect","10.0","1.0","JavaScript",,34,"мужской","Два высших","ДонНТУ","False","продвинутый","до 50 человек","Другая","Веб-разработка"
14,"Киев",10000,2000,"Senior Software Engineer","10.0","8.0","PHP",,35,"мужской","Высшее","ХНУРЭ","False","продвинутый","до 200 человек","Продуктовая","eCommerce"
15,"Киев",10000,-3500,"Director of Engineering / Program Director","10.0","1.0",,,37,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 10 человек","Стартап","iOS,Веб-разработка,Embedded"
16,"Киев",9500,3000,"Director of Engineering / Program Director","10.0","0.0",,,35,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Корпоративные системы"
17,"Киев",9200,200,"Director of Engineering / Program Director","10.0","2.0",,,28,"мужской","Высшее","ВНТУ","False","продвинутый","до 50 человек","Аутсорсинговая","iOS,Финансы и банки,eCommerce"
18,"Львов",9000,1000,"Director of Engineering / Program Director","9.0","5.0",,,27,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 200 человек","Аутсорсинговая","Веб-разработка,Телекоммуникации,Финансы и банки"
19,"Киев",9000,2000,"Senior Project Manager / Program Manager","7.0","2.0",,,29,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Аутсорсинговая","Корпоративные системы"
20,"Киев",9000,500,"Director of Engineering / Program Director","10.0","9.0",,,38,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Аутсорсинговая","Embedded,Телекоммуникации"
21,"Киев",8500,0,"Technical Lead","9.0","2.0","Java",,27,"мужской","Высшее","Другой вуз","False","продвинутый","до 200 человек","Стартап","Финансы и банки,eCommerce,Корпоративные системы"
22,"Днепр",8500,400,"Team Lead","8.0","4.0",,,28,"мужской","Высшее","ДНУ им. Гончара","False","выше среднего","до 1000 человек","Продуктовая","Веб-разработка,eCommerce"
23,"Киев",8500,1500,"Data Scientist","5.0","2.0",,,29,"мужской","Высшее","КНУ им. Шевченко","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Финансы и банки,Корпоративные системы"
24,"Киев",8500,500,"Senior Software Engineer","7.0","5.0","PHP",,35,"мужской","Кандидат","КНУ им. Шевченко","False","продвинутый","до 1000 человек","Продуктовая","Веб-разработка"
25,"Сумы",8400,2000,"Designer","7.0","3.0",,,25,"мужской","Техникум / Колледж",,"False","ниже среднего","до 10 человек","Продуктовая","Другое"
26,"Киев",8000,2000,"Designer","3.0","0.25",,,21,"мужской","Два высших","КНУТД","False","ниже среднего","до 50 человек","Продуктовая","Android,iOS,Desktop Applications"
27,"Удаленно",8000,4000,"Software Engineer","5.0","1.0","JavaScript",,23,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 1000 человек","Продуктовая","Веб-разработка"
28,"Удаленно",8000,2500,"Senior Software Engineer","7.0","4.0","Swift",,28,"мужской","Высшее","Другой вуз","False","средний","до 10 человек","Продуктовая","iOS"
29,"Киев",8000,0,"Research Engineer","7.0","2.0",,,29,"мужской","Два высших",,"False","выше среднего","до 1000 человек","Аутстаффинговая","Веб-разработка,Embedded,Мультимедиа"
30,"Днепр",8000,800,"System Architect","10.0","3.0","PHP",,29,"мужской","Высшее",,"False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка,Телекоммуникации,Корпоративные системы"
31,"Киев",8000,1000,"Junior Software Engineer","6.0","3.0","Java","Manual QA",30,"мужской","Два высших","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
32,"Удаленно",8000,1000,"Senior Project Manager / Program Manager","10.0","4.0",,,30,"мужской","Два высших","ХНУРЭ","False","продвинутый","до 10 человек","Стартап","Веб-разработка"
33,"Киев",8000,0,"Director of Engineering / Program Director","8.0","3.0",,,30,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Веб-разработка"
34,"Киев",8000,3000,"Director of Engineering / Program Director","10.0","7.0",,,31,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Desktop Applications"
35,"Удаленно",8000,1000,"DevOps","10.0","1.0",,,32,"мужской","Высшее",,"False","выше среднего","до 50 человек","Продуктовая","Мультимедиа"
36,"Киев",8000,1000,"Director of Engineering / Program Director","10.0","4.0",,,33,"мужской","Незаконченное высшее","НТУУ «КПИ»","False","средний","до 200 человек","Продуктовая","Веб-разработка,Корпоративные системы"
37,"Харьков",8000,1000,"Director of Engineering / Program Director","5.0","2.0",,,35,"мужской","Два высших",,"False","выше среднего","до 50 человек","Продуктовая","Веб-разработка,Телекоммуникации"
38,"Львов",8000,500,"Director of Engineering / Program Director","10.0","3.0",,,42,"мужской","Два высших","Львовская Политехника","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Embedded,Системное программирование,Телекоммуникации"
39,"Киев",7916,4000,"DevOps","4.0","0.25",,,21,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Веб-разработка,Финансы и банки"
40,"Киев",7800,500,"Director of Engineering / Program Director","10.0","2.0",,,30,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Другая","Системное программирование,Другое"
41,"Одесса",7800,0,"Director of Engineering / Program Director","10.0","9.0",,,38,"мужской","Высшее","ОНУ им. Мечникова","False","продвинутый","свыше 1000 человек","Продуктовая","Телекоммуникации,eCommerce,Корпоративные системы"
